Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
0,0.0,0.0,1.71,1.72,solid_square
1,0.0,0.0,1.71,1.73,solid_square
2,0.0,0.0,1.71,1.72,solid_square
3,0.0,0.0,1.72,1.74,solid_square
4,0.0,0.0,1.69,1.71,solid_square
5,0.0,0.0,1.7,1.71,solid_square
6,0.0,0.0,1.72,1.73,solid_square
7,0.0,0.0,1.59,1.59,solid_square
8,0.84,0.0,1.55,1.49,solid_square
9,1.69,1.67,1.55,1.49,solid_square
10,2.17,2.44,1.55,1.5,solid_square
11,2.66,2.53,1.52,1.47,solid_square
12,2.74,2.72,1.52,1.48,solid_square
13,2.74,2.78,1.52,1.48,solid_square
14,2.92,2.76,1.52,1.48,solid_square
15,2.99,2.81,1.52,1.48,solid_square
16,3.11,2.79,1.52,1.48,solid_square
17,3.09,2.81,1.52,1.48,solid_square
18,3.05,2.78,1.53,1.49,solid_square
19,2.99,2.8,1.53,1.49,solid_square
20,2.89,2.91,1.53,1.49,solid_square
21,3.03,3.02,1.53,1.49,solid_square
22,3.06,2.97,1.53,1.5,solid_square
23,3.07,2.75,1.53,1.5,solid_square
24,3.06,2.59,1.53,1.5,solid_square
25,3.03,2.43,1.53,1.5,solid_square
26,3.03,2.43,1.53,1.5,solid_square
27,3.03,2.43,1.53,1.5,solid_square
28,3.03,2.43,1.53,1.5,solid_square
29,3.03,2.42,1.53,1.5,solid_square
30,3.03,2.42,1.53,1.51,solid_square
31,3.03,2.4,1.54,1.51,solid_square
32,3.03,2.4,1.54,1.51,solid_square
33,3.03,2.4,1.53,1.51,solid_square
34,3.04,2.4,1.54,1.51,solid_square
35,3.04,2.4,1.54,1.5,solid_square
36,3.04,2.4,1.53,1.51,solid_square
37,3.03,2.4,1.54,1.51,solid_square
38,3.04,2.39,1.54,1.51,solid_square
39,3.04,2.4,1.54,1.51,solid_square
40,3.04,2.39,1.54,1.51,solid_square
41,3.04,2.4,1.54,1.51,solid_square
42,3.04,2.39,1.54,1.51,solid_square
43,3.04,2.4,1.54,1.51,solid_square
44,3.04,2.4,1.54,1.51,solid_square
45,3.04,2.4,1.54,1.52,solid_square
46,3.04,2.4,1.54,1.51,solid_square
47,3.04,2.39,1.54,1.51,solid_square
48,3.04,2.4,1.55,1.52,solid_square
49,3.04,2.4,1.55,1.52,solid_square
50,3.04,2.4,1.55,1.52,solid_square
51,3.04,2.39,1.55,1.52,solid_square
52,3.04,2.39,1.55,1.52,solid_square
53,3.04,2.39,1.55,1.52,solid_square
54,3.04,2.39,1.55,1.52,solid_square
55,3.05,2.39,1.55,1.51,solid_square
56,3.04,2.39,1.55,1.51,solid_square
57,3.04,2.39,1.55,1.52,solid_square
58,3.04,2.4,1.55,1.52,solid_square
59,3.05,2.39,1.55,1.52,solid_square
60,3.05,2.39,1.55,1.52,solid_square
61,3.05,2.39,1.55,1.52,solid_square
62,3.04,2.39,1.55,1.51,solid_square
63,3.04,2.39,1.55,1.52,solid_square
64,3.04,2.39,1.55,1.52,solid_square
65,3.05,2.39,1.55,1.52,solid_square
66,3.05,2.39,1.55,1.52,solid_square
67,3.04,2.4,1.55,1.52,solid_square
68,3.05,2.39,1.55,1.52,solid_square
69,3.05,2.39,1.55,1.52,solid_square
70,3.05,2.39,1.55,1.52,solid_square
71,3.04,2.39,1.55,1.52,solid_square
72,3.05,2.39,1.55,1.52,solid_square
73,3.04,2.39,1.55,1.52,solid_square
74,3.04,2.4,1.55,1.52,solid_square
75,3.04,2.4,1.55,1.52,solid_square
76,3.05,2.4,1.55,1.52,solid_square
77,3.05,2.39,1.55,1.52,solid_square
78,3.05,2.39,1.55,1.52,solid_square
79,3.05,2.39,1.55,1.52,solid_square
80,3.05,2.39,1.55,1.52,solid_square
81,3.05,2.39,1.55,1.52,solid_square
82,3.05,2.39,1.55,1.52,solid_square
83,3.05,2.4,1.56,1.52,solid_square
84,3.05,2.39,1.56,1.52,solid_square
85,3.05,2.39,1.55,1.52,solid_square
86,3.05,2.39,1.55,1.52,solid_square
87,3.05,2.39,1.56,1.52,solid_square
88,3.05,2.39,1.56,1.52,solid_square
89,3.05,2.39,1.56,1.52,solid_square
90,3.05,2.39,1.56,1.52,solid_square
91,3.05,2.39,1.55,1.52,solid_square
92,3.05,2.39,1.56,1.52,solid_square
93,3.05,2.39,1.56,1.52,solid_square
94,3.05,2.39,1.56,1.52,solid_square
95,3.05,2.39,1.55,1.52,solid_square
96,3.05,2.39,1.56,1.52,solid_square
97,3.05,2.39,1.56,1.52,solid_square
98,3.05,2.39,1.56,1.52,solid_square
99,3.06,2.39,1.56,1.52,solid_square
100,3.05,2.39,1.56,1.52,solid_square
101,3.05,2.39,1.56,1.52,solid_square
102,3.05,2.39,1.56,1.52,solid_square
103,3.05,2.39,1.56,1.52,solid_square
104,3.05,2.39,1.57,1.52,solid_square
105,3.05,2.39,1.56,1.52,solid_square
106,3.05,2.39,1.56,1.52,solid_square
107,3.05,2.39,1.56,1.52,solid_square
108,3.06,2.39,1.56,1.52,solid_square
109,3.06,2.39,1.56,1.52,solid_square
110,3.05,2.4,1.56,1.52,solid_square
111,3.06,2.39,1.56,1.52,solid_square
112,3.06,2.39,1.56,1.52,solid_square
113,3.05,2.39,1.56,1.52,solid_square
114,3.05,2.39,1.56,1.52,solid_square
115,3.05,2.39,1.56,1.52,solid_square
116,3.05,2.39,1.56,1.52,solid_square
117,3.05,2.39,1.56,1.52,solid_square
118,3.06,2.39,1.56,1.53,solid_square
119,3.05,2.39,1.56,1.52,solid_square
120,3.06,2.39,1.56,1.52,solid_square
121,3.05,2.39,1.56,1.53,solid_square
122,3.05,2.39,1.56,1.52,solid_square
123,3.05,2.39,1.56,1.52,solid_square
124,3.06,2.39,1.56,1.53,solid_square
125,3.06,2.39,1.56,1.52,solid_square
126,3.06,2.39,1.56,1.53,solid_square
127,3.06,2.39,1.56,1.52,solid_square
128,3.06,2.39,1.56,1.52,solid_square
129,3.06,2.39,1.56,1.52,solid_square
130,3.06,2.39,1.56,1.53,solid_square
131,3.06,2.39,1.56,1.52,solid_square
132,3.06,2.4,1.56,1.53,solid_square
133,3.06,2.39,1.56,1.52,solid_square
134,3.06,2.39,1.56,1.53,solid_square
135,3.06,2.39,1.56,1.53,solid_square
136,3.06,2.4,1.57,1.53,solid_square
137,3.06,2.4,1.56,1.52,solid_square
138,3.06,2.39,1.56,1.52,solid_square
139,3.06,2.4,1.57,1.52,solid_square
140,3.06,2.4,1.57,1.53,solid_square
141,3.06,2.4,1.57,1.53,solid_square
142,3.06,2.39,1.56,1.53,solid_square
143,3.06,2.39,1.57,1.53,solid_square
144,3.06,2.39,1.57,1.53,solid_square
145,3.06,2.4,1.57,1.53,solid_square
146,3.06,2.4,1.56,1.53,solid_square
147,3.06,2.4,1.56,1.53,solid_square
148,3.06,2.4,1.57,1.53,solid_square
149,3.06,2.39,1.57,1.53,solid_square
0,0.0,0.0,1.71,1.73,solid_square
1,0.0,0.0,1.71,1.73,solid_square
3,0.0,0.0,1.71,1.73,solid_square
4,0.0,0.0,1.71,1.73,solid_square
5,0.0,0.0,1.71,1.74,solid_square
6,0.0,0.0,1.71,1.74,solid_square
7,0.0,0.0,1.71,1.73,solid_square
8,0.0,0.0,1.71,1.73,solid_square
9,0.0,0.0,1.72,1.74,solid_square
10,0.0,0.0,1.71,1.73,solid_square
11,0.0,0.0,1.72,1.74,solid_square
12,0.0,0.0,1.71,1.73,solid_square
13,0.0,0.0,1.62,1.62,solid_square
14,0.85,0.0,1.56,1.51,solid_square
15,2.15,1.86,1.56,1.52,solid_square
16,2.69,2.4,1.56,1.52,solid_square
17,2.89,2.6,1.55,1.52,solid_square
18,2.99,2.79,1.56,1.52,solid_square
19,3.1,2.85,1.55,1.52,solid_square
20,3.16,2.89,1.56,1.52,solid_square
21,3.21,2.87,1.56,1.52,solid_square
22,3.23,2.84,1.55,1.52,solid_square
23,3.24,2.85,1.55,1.52,solid_square
24,3.26,2.8,1.56,1.52,solid_square
25,3.26,2.71,1.55,1.52,solid_square
26,3.22,2.59,1.55,1.53,solid_square
27,3.22,2.6,1.56,1.53,solid_square
28,3.15,2.47,1.55,1.53,solid_square
29,3.14,2.32,1.56,1.53,solid_square
30,3.3,2.51,1.55,1.54,solid_square
31,3.29,2.52,1.55,1.53,solid_square
32,3.3,2.53,1.55,1.54,solid_square
33,3.31,2.54,1.55,1.53,solid_square
34,3.29,2.53,1.55,1.53,solid_square
35,3.3,2.53,1.55,1.54,solid_square
36,3.27,2.49,1.55,1.53,solid_square
37,3.27,2.5,1.55,1.53,solid_square
38,3.27,2.49,1.55,1.54,solid_square
39,3.27,2.49,1.55,1.54,solid_square
40,3.29,2.41,1.55,1.54,solid_square
41,3.31,2.4,1.55,1.54,solid_square
42,3.28,2.33,1.55,1.54,solid_square
43,3.28,2.31,1.55,1.54,solid_square
44,3.29,2.3,1.55,1.54,solid_square
45,3.3,2.31,1.55,1.54,solid_square
46,3.3,2.33,1.55,1.53,solid_square
47,3.28,2.3,1.55,1.53,solid_square
48,3.29,2.3,1.54,1.54,solid_square
49,3.28,2.31,1.55,1.54,solid_square
50,3.26,2.3,1.55,1.53,solid_square
51,3.25,2.31,1.54,1.54,solid_square
52,3.24,2.31,1.55,1.54,solid_square
53,3.25,2.32,1.54,1.54,solid_square
54,3.25,2.33,1.55,1.54,solid_square
55,3.25,2.33,1.54,1.54,solid_square
56,3.25,2.33,1.54,1.54,solid_square
57,3.2,2.33,1.55,1.54,solid_square
58,3.21,2.33,1.55,1.54,solid_square
59,3.16,2.33,1.55,1.54,solid_square
60,3.17,2.33,1.55,1.54,solid_square
61,3.18,2.33,1.54,1.54,solid_square
62,3.18,2.33,1.55,1.55,solid_square
63,3.19,2.34,1.55,1.54,solid_square
64,3.19,2.33,1.54,1.54,solid_square
65,3.19,2.33,1.55,1.54,solid_square
66,3.2,2.33,1.55,1.54,solid_square
67,3.2,2.34,1.54,1.54,solid_square
68,3.21,2.33,1.55,1.54,solid_square
69,3.2,2.34,1.55,1.54,solid_square
70,3.2,2.34,1.55,1.54,solid_square
71,3.2,2.34,1.55,1.54,solid_square
72,3.15,2.34,1.55,1.54,solid_square
73,3.16,2.34,1.55,1.54,solid_square
74,3.15,2.33,1.55,1.54,solid_square
75,3.15,2.34,1.55,1.54,solid_square
76,3.15,2.34,1.55,1.54,solid_square
77,3.15,2.34,1.55,1.54,solid_square
78,3.14,2.34,1.55,1.55,solid_square
79,3.14,2.34,1.55,1.55,solid_square
80,3.15,2.34,1.55,1.54,solid_square
81,3.15,2.34,1.55,1.54,solid_square
82,3.15,2.35,1.55,1.54,solid_square
83,3.15,2.35,1.55,1.54,solid_square
84,3.14,2.35,1.55,1.54,solid_square
85,3.15,2.35,1.55,1.54,solid_square
86,3.15,2.35,1.55,1.54,solid_square
87,3.15,2.35,1.55,1.54,solid_square
88,3.15,2.36,1.55,1.54,solid_square
89,3.16,2.36,1.55,1.54,solid_square
90,3.16,2.36,1.55,1.55,solid_square
91,3.16,2.36,1.55,1.55,solid_square
92,3.16,2.36,1.55,1.55,solid_square
93,3.09,2.35,1.55,1.54,solid_square
