Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
0,0.0,0.0,1.81,1.8,stapler
1,0.0,0.0,1.81,1.8,stapler
2,0.0,0.0,1.81,1.8,stapler
3,0.0,0.0,1.81,1.8,stapler
4,0.0,0.0,1.81,1.8,stapler
5,0.0,0.0,1.81,1.8,stapler
6,0.0,0.0,1.81,1.8,stapler
7,0.0,0.0,1.81,1.8,stapler
8,0.0,0.0,1.81,1.8,stapler
9,0.0,0.0,1.8,1.8,stapler
10,0.0,0.0,1.81,1.8,stapler
11,0.0,0.0,1.81,1.8,stapler
12,0.0,0.0,1.81,1.8,stapler
13,0.0,0.0,1.81,1.8,stapler
14,0.0,0.0,1.81,1.8,stapler
15,0.0,0.0,1.81,1.8,stapler
16,0.0,0.0,1.81,1.8,stapler
17,0.0,0.0,1.81,1.8,stapler
18,0.0,0.0,1.81,1.8,stapler
19,0.0,0.0,1.81,1.8,stapler
20,0.0,0.0,1.81,1.79,stapler
21,0.0,0.0,1.81,1.8,stapler
22,0.0,0.0,1.81,1.8,stapler
23,0.0,0.0,1.81,1.8,stapler
24,0.0,0.0,1.81,1.8,stapler
25,0.0,0.0,1.81,1.8,stapler
26,0.0,0.0,1.81,1.79,stapler
27,0.0,0.0,1.81,1.8,stapler
28,0.0,0.0,1.81,1.8,stapler
29,0.0,0.0,1.81,1.8,stapler
30,0.0,0.0,1.81,1.8,stapler
31,0.0,0.0,1.81,1.8,stapler
32,0.0,0.0,1.81,1.8,stapler
33,0.0,0.0,1.81,1.8,stapler
34,0.0,0.0,1.81,1.8,stapler
35,0.0,0.0,1.82,1.8,stapler
36,0.0,0.0,1.81,1.8,stapler
37,0.0,0.0,1.81,1.8,stapler
38,0.0,0.0,1.81,1.8,stapler
39,0.0,0.0,1.81,1.8,stapler
40,0.0,0.0,1.81,1.8,stapler
41,0.0,0.0,1.81,1.8,stapler
42,0.0,0.0,1.81,1.8,stapler
43,0.0,0.0,1.81,1.8,stapler
44,0.0,0.0,1.81,1.79,stapler
45,0.0,0.0,1.81,1.8,stapler
46,0.0,0.0,1.81,1.8,stapler
47,0.0,0.0,1.81,1.8,stapler
48,0.0,0.0,1.81,1.79,stapler
49,0.0,0.0,1.81,1.8,stapler
50,0.0,0.0,1.81,1.8,stapler
51,0.0,0.0,1.81,1.8,stapler
52,0.0,0.0,1.81,1.8,stapler
53,0.0,0.0,1.81,1.8,stapler
54,0.0,0.0,1.81,1.8,stapler
55,0.0,0.0,1.81,1.8,stapler
56,0.0,0.0,1.81,1.8,stapler
57,0.0,0.0,1.81,1.8,stapler
58,0.0,0.0,1.81,1.8,stapler
59,0.0,0.0,1.81,1.8,stapler
60,0.0,0.0,1.81,1.8,stapler
61,0.0,0.0,1.8,1.8,stapler
62,0.0,0.0,1.81,1.8,stapler
63,0.0,0.0,1.81,1.8,stapler
64,0.0,0.0,1.81,1.8,stapler
65,0.0,0.0,1.81,1.8,stapler
66,0.0,0.0,1.81,1.8,stapler
67,0.0,0.0,1.81,1.81,stapler
68,0.0,0.0,1.81,1.8,stapler
69,0.0,0.0,1.81,1.8,stapler
70,0.0,0.0,1.81,1.8,stapler
71,0.0,0.0,1.81,1.8,stapler
72,0.0,0.0,1.81,1.8,stapler
73,0.0,0.0,1.81,1.8,stapler
74,0.0,0.0,1.81,1.8,stapler
75,0.0,0.0,1.81,1.8,stapler
76,0.0,0.0,1.81,1.8,stapler
77,0.0,0.0,1.81,1.8,stapler
78,0.0,0.0,1.81,1.8,stapler
79,0.0,0.0,1.81,1.8,stapler
80,0.0,0.0,1.81,1.8,stapler
81,0.0,0.0,1.81,1.79,stapler
82,0.0,0.0,1.81,1.8,stapler
83,0.0,0.0,1.81,1.8,stapler
84,0.0,0.0,1.81,1.8,stapler
85,0.0,0.0,1.81,1.8,stapler
86,0.0,0.0,1.81,1.8,stapler
87,0.0,0.0,1.81,1.8,stapler
88,0.0,0.0,1.81,1.8,stapler
89,0.0,0.0,1.81,1.8,stapler
90,0.0,0.0,1.81,1.8,stapler
91,0.0,0.0,1.81,1.8,stapler
92,0.0,0.0,1.81,1.8,stapler
93,0.0,0.0,1.81,1.8,stapler
94,0.0,0.0,1.81,1.79,stapler
95,0.0,0.0,1.81,1.79,stapler
96,0.0,0.0,1.81,1.8,stapler
97,0.0,0.0,1.81,1.8,stapler
98,0.0,0.0,1.81,1.8,stapler
99,0.0,0.0,1.8,1.8,stapler
100,0.0,0.0,1.81,1.8,stapler
101,0.0,0.0,1.81,1.8,stapler
102,0.0,0.0,1.81,1.81,stapler
103,0.0,0.0,1.81,1.8,stapler
104,0.0,0.0,1.8,1.8,stapler
105,0.0,0.0,1.81,1.8,stapler
106,0.0,0.0,1.8,1.8,stapler
107,0.0,0.0,1.81,1.8,stapler
108,0.0,0.0,1.81,1.8,stapler
109,0.0,0.0,1.81,1.79,stapler
110,0.0,0.0,1.81,1.8,stapler
111,0.0,0.0,1.81,1.8,stapler
112,0.0,0.0,1.81,1.8,stapler
