Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.8,1.77,battery
2,0.0,0.0,1.8,1.77,battery
3,0.0,0.0,1.8,1.77,battery
4,0.0,0.0,1.8,1.77,battery
5,0.0,0.0,1.8,1.77,battery
6,0.0,0.0,1.8,1.77,battery
7,0.0,0.0,1.8,1.77,battery
8,0.0,0.0,1.8,1.77,battery
9,0.0,0.0,1.8,1.77,battery
10,0.0,0.0,1.8,1.78,battery
11,0.0,0.0,1.66,1.67,battery
12,0.0,0.0,1.54,1.56,battery
13,0.06,0.13,1.53,1.53,battery
14,0.18,0.65,1.54,1.54,battery
15,0.23,1.01,1.55,1.54,battery
16,0.27,1.19,1.56,1.54,battery
17,0.27,1.28,1.56,1.55,battery
18,0.26,1.34,1.57,1.55,battery
19,0.26,1.39,1.57,1.55,battery
20,0.26,1.41,1.57,1.55,battery
21,0.25,1.42,1.57,1.55,battery
22,0.25,1.43,1.57,1.55,battery
23,0.25,1.44,1.57,1.55,battery
24,0.24,1.44,1.57,1.56,battery
25,0.23,1.43,1.57,1.56,battery
26,0.23,1.43,1.57,1.56,battery
27,0.23,1.44,1.57,1.56,battery
28,0.23,1.44,1.58,1.56,battery
29,0.23,1.45,1.58,1.55,battery
30,0.22,1.44,1.58,1.56,battery
31,0.23,1.45,1.58,1.55,battery
32,0.23,1.45,1.58,1.55,battery
33,0.23,1.45,1.58,1.56,battery
34,0.22,1.46,1.58,1.56,battery
35,0.22,1.46,1.58,1.55,battery
36,0.22,1.46,1.58,1.56,battery
37,0.22,1.45,1.58,1.56,battery
38,0.22,1.45,1.58,1.56,battery
39,0.22,1.46,1.58,1.56,battery
40,0.22,1.46,1.58,1.56,battery
41,0.22,1.46,1.58,1.56,battery
42,0.22,1.46,1.59,1.56,battery
43,0.22,1.46,1.59,1.56,battery
44,0.22,1.46,1.58,1.56,battery
45,0.22,1.47,1.58,1.56,battery
46,0.22,1.46,1.58,1.56,battery
47,0.22,1.47,1.59,1.56,battery
48,0.22,1.47,1.59,1.56,battery
49,0.22,1.46,1.58,1.57,battery
50,0.22,1.46,1.58,1.57,battery
51,0.22,1.46,1.58,1.57,battery
52,0.22,1.46,1.58,1.56,battery
53,0.22,1.47,1.58,1.57,battery
54,0.22,1.47,1.58,1.57,battery
55,0.22,1.47,1.59,1.56,battery
56,0.22,1.47,1.59,1.56,battery
57,0.22,1.47,1.59,1.56,battery
58,0.22,1.47,1.59,1.56,battery
59,0.22,1.47,1.59,1.56,battery
60,0.22,1.47,1.59,1.56,battery
61,0.22,1.48,1.59,1.56,battery
62,0.22,1.47,1.58,1.56,battery
63,0.22,1.47,1.59,1.57,battery
64,0.22,1.47,1.58,1.56,battery
65,0.22,1.47,1.59,1.57,battery
66,0.22,1.47,1.59,1.56,battery
67,0.22,1.47,1.58,1.56,battery
68,0.22,1.47,1.59,1.56,battery
69,0.22,1.47,1.59,1.56,battery
70,0.22,1.47,1.59,1.56,battery
71,0.22,1.47,1.59,1.56,battery
72,0.22,1.46,1.59,1.56,battery
73,0.22,1.46,1.59,1.56,battery
74,0.22,1.46,1.59,1.56,battery
75,0.22,1.46,1.58,1.57,battery
76,0.22,1.46,1.59,1.57,battery
77,0.22,1.46,1.58,1.57,battery
78,0.22,1.46,1.59,1.57,battery
79,0.22,1.47,1.59,1.57,battery
80,0.22,1.47,1.59,1.57,battery
81,0.22,1.47,1.59,1.56,battery
82,0.22,1.47,1.59,1.57,battery
83,0.22,1.47,1.59,1.56,battery
84,0.22,1.47,1.59,1.56,battery
85,0.22,1.47,1.59,1.57,battery
86,0.22,1.47,1.59,1.56,battery
87,0.22,1.47,1.59,1.56,battery
88,0.22,1.47,1.58,1.57,battery
89,0.22,1.46,1.59,1.57,battery
90,0.22,1.46,1.59,1.56,battery
91,0.22,1.47,1.59,1.57,battery
92,0.22,1.46,1.59,1.57,battery
93,0.22,1.46,1.59,1.57,battery
94,0.22,1.47,1.59,1.56,battery
95,0.21,1.47,1.59,1.57,battery
96,0.22,1.47,1.59,1.56,battery
97,0.22,1.47,1.59,1.56,battery
98,0.22,1.46,1.59,1.57,battery
99,0.22,1.48,1.59,1.57,battery
100,0.22,1.47,1.59,1.56,battery
101,0.22,1.47,1.59,1.57,battery
102,0.22,1.47,1.59,1.57,battery
103,0.22,1.47,1.59,1.57,battery
104,0.22,1.47,1.59,1.57,battery
105,0.22,1.47,1.59,1.57,battery
106,0.22,1.47,1.59,1.57,battery
107,0.22,1.47,1.59,1.56,battery
108,0.22,1.47,1.59,1.57,battery
109,0.22,1.48,1.59,1.57,battery
110,0.22,1.47,1.59,1.56,battery
111,0.22,1.47,1.59,1.57,battery
112,0.22,1.47,1.59,1.57,battery
113,0.22,1.48,1.59,1.57,battery
