Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
0,0.0,0.0,1.8,1.77,bottle_cap
1,0.0,0.0,1.79,1.77,bottle_cap
2,0.0,0.0,1.79,1.77,bottle_cap
3,0.0,0.0,1.79,1.77,bottle_cap
4,0.0,0.0,1.79,1.77,bottle_cap
5,0.0,0.0,1.79,1.77,bottle_cap
6,0.0,0.0,1.79,1.77,bottle_cap
7,0.0,0.0,1.8,1.77,bottle_cap
8,0.0,0.0,1.8,1.77,bottle_cap
9,0.0,0.0,1.8,1.77,bottle_cap
10,0.59,0.62,1.74,1.71,bottle_cap
11,2.02,2.9,1.76,1.69,bottle_cap
12,2.92,3.51,1.76,1.67,bottle_cap
13,2.98,3.46,1.75,1.66,bottle_cap
14,2.8,3.39,1.75,1.65,bottle_cap
15,2.72,3.34,1.74,1.65,bottle_cap
16,2.72,3.3,1.74,1.64,bottle_cap
17,2.68,3.28,1.74,1.64,bottle_cap
18,2.7,3.28,1.74,1.64,bottle_cap
19,2.71,3.26,1.74,1.64,bottle_cap
20,2.72,3.26,1.74,1.63,bottle_cap
21,2.72,3.25,1.74,1.63,bottle_cap
22,2.73,3.25,1.74,1.63,bottle_cap
23,2.74,3.24,1.74,1.63,bottle_cap
24,2.73,3.24,1.74,1.63,bottle_cap
25,2.74,3.23,1.74,1.64,bottle_cap
26,2.74,3.23,1.74,1.63,bottle_cap
27,2.74,3.22,1.74,1.63,bottle_cap
28,2.74,3.2,1.74,1.64,bottle_cap
29,2.75,3.21,1.74,1.63,bottle_cap
30,2.75,3.22,1.74,1.63,bottle_cap
31,2.75,3.2,1.74,1.64,bottle_cap
32,2.75,3.2,1.74,1.64,bottle_cap
33,2.75,3.21,1.74,1.63,bottle_cap
34,2.75,3.2,1.74,1.63,bottle_cap
35,2.75,3.2,1.74,1.64,bottle_cap
36,2.74,3.2,1.74,1.64,bottle_cap
37,2.75,3.21,1.74,1.63,bottle_cap
38,2.75,3.2,1.74,1.64,bottle_cap
39,2.75,3.2,1.74,1.63,bottle_cap
40,2.75,3.2,1.74,1.64,bottle_cap
41,2.75,3.2,1.74,1.64,bottle_cap
42,2.75,3.2,1.74,1.64,bottle_cap
43,2.76,3.2,1.74,1.63,bottle_cap
44,2.75,3.2,1.74,1.64,bottle_cap
45,2.75,3.2,1.74,1.64,bottle_cap
46,2.75,3.2,1.74,1.64,bottle_cap
47,2.76,3.2,1.74,1.64,bottle_cap
48,2.75,3.2,1.74,1.64,bottle_cap
49,2.75,3.2,1.74,1.64,bottle_cap
50,2.75,3.2,1.74,1.63,bottle_cap
51,2.75,3.2,1.74,1.64,bottle_cap
52,2.76,3.2,1.74,1.64,bottle_cap
53,2.75,3.21,1.74,1.64,bottle_cap
54,2.75,3.2,1.74,1.64,bottle_cap
55,2.75,3.21,1.74,1.64,bottle_cap
56,2.75,3.2,1.74,1.64,bottle_cap
57,2.76,3.19,1.74,1.64,bottle_cap
58,2.75,3.2,1.74,1.64,bottle_cap
59,2.76,3.2,1.74,1.64,bottle_cap
60,2.75,3.21,1.74,1.64,bottle_cap
61,2.75,3.21,1.74,1.64,bottle_cap
62,2.75,3.21,1.74,1.65,bottle_cap
63,2.76,3.21,1.74,1.64,bottle_cap
64,2.76,3.2,1.74,1.64,bottle_cap
65,2.76,3.2,1.74,1.64,bottle_cap
66,2.75,3.2,1.74,1.64,bottle_cap
67,2.75,3.2,1.74,1.64,bottle_cap
68,2.75,3.2,1.74,1.64,bottle_cap
69,2.75,3.2,1.74,1.64,bottle_cap
70,2.75,3.2,1.74,1.64,bottle_cap
71,2.75,3.2,1.74,1.64,bottle_cap
72,2.75,3.2,1.74,1.63,bottle_cap
73,2.75,3.2,1.74,1.64,bottle_cap
74,2.75,3.2,1.74,1.64,bottle_cap
75,2.75,3.21,1.74,1.64,bottle_cap
76,2.75,3.2,1.74,1.64,bottle_cap
77,2.75,3.2,1.74,1.64,bottle_cap
78,2.75,3.2,1.74,1.64,bottle_cap
79,2.75,3.2,1.74,1.64,bottle_cap
80,2.75,3.2,1.74,1.64,bottle_cap
81,2.75,3.2,1.74,1.64,bottle_cap
82,2.75,3.2,1.74,1.64,bottle_cap
83,2.75,3.21,1.74,1.64,bottle_cap
84,2.75,3.2,1.74,1.64,bottle_cap
85,2.75,3.2,1.74,1.64,bottle_cap
86,2.75,3.2,1.74,1.64,bottle_cap
87,2.75,3.2,1.74,1.64,bottle_cap
88,2.75,3.2,1.74,1.64,bottle_cap
89,2.75,3.2,1.74,1.64,bottle_cap
90,2.76,3.17,1.74,1.64,bottle_cap
91,2.76,3.2,1.74,1.64,bottle_cap
92,2.76,3.2,1.75,1.64,bottle_cap
93,2.76,3.19,1.74,1.64,bottle_cap
94,2.75,3.19,1.74,1.64,bottle_cap
95,2.76,3.2,1.74,1.64,bottle_cap
96,2.76,3.2,1.74,1.64,bottle_cap
97,2.75,3.2,1.74,1.64,bottle_cap
98,2.76,3.2,1.74,1.64,bottle_cap
99,2.76,3.2,1.74,1.64,bottle_cap
100,2.76,3.2,1.74,1.64,bottle_cap
101,2.76,3.2,1.75,1.64,bottle_cap
102,2.76,3.2,1.74,1.64,bottle_cap
103,2.76,3.19,1.74,1.64,bottle_cap
104,2.75,3.19,1.74,1.64,bottle_cap
105,2.75,3.2,1.74,1.64,bottle_cap
106,2.76,3.2,1.74,1.64,bottle_cap
107,2.76,3.2,1.74,1.64,bottle_cap
108,2.76,3.2,1.74,1.64,bottle_cap
109,2.76,3.2,1.74,1.64,bottle_cap
110,2.76,3.19,1.74,1.64,bottle_cap
111,2.76,3.18,1.74,1.64,bottle_cap
112,2.76,3.2,1.74,1.64,bottle_cap
113,2.76,3.2,1.74,1.64,bottle_cap
114,2.75,3.2,1.74,1.64,bottle_cap
115,2.76,3.2,1.74,1.64,bottle_cap
116,2.76,3.2,1.72,1.64,bottle_cap
117,2.76,3.19,1.74,1.64,bottle_cap
118,2.76,3.2,1.74,1.64,bottle_cap
119,2.75,3.2,1.74,1.64,bottle_cap
120,2.75,3.2,1.74,1.64,bottle_cap
121,2.76,3.2,1.74,1.64,bottle_cap
122,2.76,3.2,1.74,1.64,bottle_cap
123,2.75,3.19,1.74,1.64,bottle_cap
124,2.75,3.2,1.74,1.64,bottle_cap
125,2.75,3.2,1.74,1.64,bottle_cap
126,2.75,3.2,1.74,1.64,bottle_cap
127,2.75,3.2,1.74,1.64,bottle_cap
128,2.76,3.2,1.74,1.64,bottle_cap
129,2.76,3.2,1.74,1.64,bottle_cap
130,2.76,3.2,1.74,1.64,bottle_cap
131,2.76,3.2,1.74,1.64,bottle_cap
132,2.75,3.2,1.75,1.64,bottle_cap
133,2.75,3.2,1.74,1.64,bottle_cap
134,2.75,3.2,1.74,1.64,bottle_cap
135,2.75,3.2,1.74,1.64,bottle_cap
136,2.75,3.2,1.74,1.64,bottle_cap
137,2.75,3.2,1.74,1.64,bottle_cap
138,2.75,3.2,1.74,1.64,bottle_cap
139,2.75,3.19,1.74,1.64,bottle_cap
140,2.75,3.19,1.74,1.64,bottle_cap
141,2.75,3.2,1.74,1.64,bottle_cap
142,2.75,3.2,1.74,1.64,bottle_cap
143,2.75,3.2,1.74,1.64,bottle_cap
144,2.75,3.2,1.72,1.64,bottle_cap
145,2.75,3.2,1.74,1.64,bottle_cap
146,2.75,3.2,1.74,1.64,bottle_cap
147,2.75,3.2,1.74,1.64,bottle_cap
148,2.75,3.2,1.74,1.64,bottle_cap
149,2.75,3.2,1.74,1.64,bottle_cap
0,0.0,0.0,1.8,1.78,bottle_cap
1,0.0,0.0,1.8,1.77,bottle_cap
2,0.0,0.0,1.79,1.77,bottle_cap
3,0.0,0.0,1.8,1.77,bottle_cap
4,0.81,0.8,1.75,1.7,bottle_cap
5,1.93,2.92,1.76,1.69,bottle_cap
6,2.92,3.43,1.76,1.67,bottle_cap
7,2.93,3.4,1.76,1.66,bottle_cap
8,2.73,3.27,1.75,1.65,bottle_cap
9,2.64,3.19,1.74,1.65,bottle_cap
10,2.65,3.19,1.74,1.64,bottle_cap
11,2.67,3.19,1.74,1.64,bottle_cap
12,2.68,3.19,1.74,1.64,bottle_cap
13,2.68,3.18,1.74,1.64,bottle_cap
14,2.68,3.2,1.74,1.64,bottle_cap
15,2.69,3.2,1.74,1.64,bottle_cap
16,2.7,3.2,1.74,1.64,bottle_cap
17,2.71,3.2,1.74,1.64,bottle_cap
18,2.72,3.19,1.74,1.64,bottle_cap
19,2.72,3.2,1.74,1.64,bottle_cap
20,2.73,3.2,1.74,1.63,bottle_cap
21,2.74,3.2,1.74,1.64,bottle_cap
22,2.75,3.21,1.74,1.63,bottle_cap
23,2.77,3.21,1.74,1.64,bottle_cap
24,2.77,3.21,1.74,1.64,bottle_cap
25,2.77,3.22,1.74,1.64,bottle_cap
26,2.77,3.22,1.74,1.64,bottle_cap
27,2.78,3.22,1.74,1.64,bottle_cap
28,2.79,3.21,1.74,1.64,bottle_cap
29,2.81,3.21,1.74,1.64,bottle_cap
30,2.81,3.2,1.74,1.64,bottle_cap
31,2.81,3.2,1.74,1.64,bottle_cap
32,2.81,3.2,1.74,1.64,bottle_cap
33,2.92,3.15,1.74,1.63,bottle_cap
34,2.91,3.16,1.74,1.64,bottle_cap
35,2.9,3.17,1.74,1.63,bottle_cap
36,2.89,3.18,1.74,1.64,bottle_cap
37,2.89,3.18,1.74,1.64,bottle_cap
38,2.88,3.18,1.74,1.64,bottle_cap
39,2.89,3.17,1.74,1.64,bottle_cap
40,2.88,3.17,1.74,1.64,bottle_cap
41,2.87,3.18,1.74,1.64,bottle_cap
42,2.88,3.18,1.74,1.64,bottle_cap
43,2.87,3.18,1.74,1.64,bottle_cap
44,2.86,3.18,1.74,1.64,bottle_cap
45,2.86,3.18,1.74,1.64,bottle_cap
46,2.86,3.17,1.74,1.64,bottle_cap
47,2.86,3.17,1.74,1.64,bottle_cap
48,2.85,3.17,1.74,1.64,bottle_cap
49,2.85,3.17,1.74,1.64,bottle_cap
50,2.85,3.16,1.74,1.64,bottle_cap
51,2.85,3.17,1.74,1.64,bottle_cap
52,2.85,3.17,1.74,1.64,bottle_cap
53,2.85,3.18,1.74,1.64,bottle_cap
54,2.85,3.17,1.74,1.64,bottle_cap
55,2.84,3.17,1.74,1.64,bottle_cap
56,2.84,3.17,1.74,1.64,bottle_cap
57,2.84,3.17,1.74,1.64,bottle_cap
58,2.84,3.17,1.74,1.64,bottle_cap
59,2.84,3.17,1.74,1.64,bottle_cap
60,2.84,3.17,1.74,1.64,bottle_cap
61,2.84,3.17,1.74,1.64,bottle_cap
62,2.84,3.17,1.74,1.64,bottle_cap
63,2.83,3.17,1.74,1.64,bottle_cap
64,2.83,3.17,1.74,1.64,bottle_cap
65,2.83,3.17,1.74,1.64,bottle_cap
66,2.83,3.17,1.74,1.64,bottle_cap
67,2.83,3.17,1.75,1.64,bottle_cap
68,2.83,3.17,1.74,1.64,bottle_cap
69,2.83,3.17,1.74,1.64,bottle_cap
70,2.83,3.18,1.74,1.64,bottle_cap
71,2.83,3.18,1.74,1.64,bottle_cap
72,2.83,3.18,1.74,1.64,bottle_cap
73,2.83,3.17,1.74,1.64,bottle_cap
74,2.83,3.18,1.74,1.64,bottle_cap
75,2.83,3.18,1.74,1.64,bottle_cap
76,2.83,3.18,1.75,1.64,bottle_cap
77,2.83,3.18,1.74,1.64,bottle_cap
78,2.82,3.18,1.74,1.64,bottle_cap
79,2.83,3.18,1.74,1.64,bottle_cap
80,2.83,3.18,1.74,1.64,bottle_cap
81,2.83,3.18,1.74,1.64,bottle_cap
82,2.83,3.18,1.75,1.65,bottle_cap
83,2.83,3.18,1.74,1.64,bottle_cap
84,2.83,3.18,1.75,1.64,bottle_cap
85,2.83,3.18,1.74,1.64,bottle_cap
86,2.83,3.18,1.74,1.64,bottle_cap
87,2.83,3.18,1.74,1.64,bottle_cap
88,2.83,3.18,1.74,1.64,bottle_cap
89,2.82,3.18,1.74,1.64,bottle_cap
90,2.83,3.18,1.74,1.64,bottle_cap
91,2.82,3.18,1.74,1.64,bottle_cap
92,2.83,3.18,1.74,1.64,bottle_cap
93,2.83,3.19,1.74,1.64,bottle_cap
94,2.83,3.19,1.74,1.64,bottle_cap
95,2.83,3.19,1.74,1.64,bottle_cap
96,2.82,3.18,1.74,1.64,bottle_cap
97,2.83,3.18,1.74,1.64,bottle_cap
98,2.83,3.18,1.74,1.64,bottle_cap
99,2.8,3.18,1.74,1.64,bottle_cap
100,2.82,3.18,1.74,1.64,bottle_cap
101,2.82,3.19,1.74,1.64,bottle_cap
102,2.82,3.18,1.74,1.65,bottle_cap
103,2.82,3.19,1.74,1.64,bottle_cap
104,2.82,3.19,1.74,1.64,bottle_cap
105,2.82,3.19,1.74,1.64,bottle_cap
106,2.82,3.19,1.74,1.64,bottle_cap
107,2.82,3.19,1.74,1.64,bottle_cap
108,2.82,3.19,1.75,1.64,bottle_cap
109,2.82,3.19,1.74,1.64,bottle_cap
110,2.82,3.19,1.74,1.64,bottle_cap
111,2.82,3.19,1.74,1.64,bottle_cap
112,2.82,3.19,1.74,1.64,bottle_cap
113,2.81,3.19,1.74,1.64,bottle_cap
114,2.82,3.19,1.74,1.64,bottle_cap
115,2.81,3.19,1.74,1.65,bottle_cap
116,2.81,3.19,1.74,1.64,bottle_cap
117,2.81,3.2,1.74,1.65,bottle_cap
118,2.81,3.19,1.74,1.64,bottle_cap
119,2.81,3.19,1.75,1.64,bottle_cap
120,2.81,3.19,1.75,1.64,bottle_cap
121,2.81,3.19,1.74,1.64,bottle_cap
122,2.81,3.19,1.75,1.64,bottle_cap
123,2.81,3.19,1.74,1.64,bottle_cap
124,2.81,3.19,1.74,1.64,bottle_cap
125,2.81,3.19,1.74,1.64,bottle_cap
126,2.81,3.19,1.75,1.64,bottle_cap
127,2.81,3.19,1.75,1.64,bottle_cap
128,2.81,3.19,1.74,1.65,bottle_cap
129,2.81,3.19,1.75,1.64,bottle_cap
130,2.81,3.19,1.75,1.64,bottle_cap
131,2.81,3.19,1.74,1.64,bottle_cap
132,2.81,3.18,1.74,1.64,bottle_cap
133,2.81,3.19,1.74,1.64,bottle_cap
134,2.81,3.19,1.74,1.64,bottle_cap
135,2.81,3.19,1.74,1.64,bottle_cap
136,2.81,3.19,1.74,1.64,bottle_cap
137,2.81,3.2,1.75,1.64,bottle_cap
138,2.8,3.19,1.74,1.64,bottle_cap
139,2.81,3.2,1.75,1.64,bottle_cap
