Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.79,1.78,ethernet_adapter
2,0.0,0.0,1.79,1.77,ethernet_adapter
3,0.0,0.0,1.79,1.77,ethernet_adapter
4,0.0,0.0,1.79,1.77,ethernet_adapter
5,0.0,0.0,1.79,1.77,ethernet_adapter
6,0.0,0.0,1.79,1.77,ethernet_adapter
7,0.0,0.0,1.78,1.78,ethernet_adapter
8,0.0,0.0,1.79,1.78,ethernet_adapter
9,0.0,0.0,1.79,1.78,ethernet_adapter
10,0.0,0.0,1.79,1.78,ethernet_adapter
11,0.0,0.0,1.71,1.7,ethernet_adapter
12,0.0,0.0,1.57,1.59,ethernet_adapter
13,0.0,0.0,1.52,1.54,ethernet_adapter
14,0.0,0.0,1.5,1.53,ethernet_adapter
15,0.32,0.44,1.51,1.54,ethernet_adapter
16,0.36,0.67,1.52,1.54,ethernet_adapter
17,0.35,0.68,1.52,1.54,ethernet_adapter
18,0.32,0.69,1.53,1.55,ethernet_adapter
19,0.21,0.69,1.53,1.55,ethernet_adapter
20,0.21,0.69,1.52,1.55,ethernet_adapter
21,0.21,0.7,1.53,1.55,ethernet_adapter
22,0.21,0.7,1.53,1.55,ethernet_adapter
23,0.22,0.7,1.53,1.55,ethernet_adapter
24,0.22,0.7,1.53,1.55,ethernet_adapter
25,0.21,0.7,1.53,1.55,ethernet_adapter
26,0.21,0.7,1.53,1.56,ethernet_adapter
27,0.21,0.7,1.54,1.55,ethernet_adapter
28,0.22,0.7,1.54,1.56,ethernet_adapter
29,0.22,0.7,1.54,1.56,ethernet_adapter
30,0.21,0.7,1.54,1.56,ethernet_adapter
31,0.22,0.7,1.54,1.55,ethernet_adapter
32,0.21,0.7,1.54,1.55,ethernet_adapter
33,0.22,0.7,1.54,1.56,ethernet_adapter
34,0.21,0.7,1.54,1.56,ethernet_adapter
35,0.21,0.7,1.54,1.56,ethernet_adapter
36,0.22,0.7,1.54,1.56,ethernet_adapter
37,0.22,0.7,1.54,1.56,ethernet_adapter
38,0.22,0.7,1.54,1.56,ethernet_adapter
39,0.22,0.7,1.54,1.56,ethernet_adapter
40,0.22,0.69,1.54,1.57,ethernet_adapter
41,0.21,0.69,1.54,1.56,ethernet_adapter
42,0.21,0.7,1.54,1.56,ethernet_adapter
43,0.21,0.7,1.54,1.56,ethernet_adapter
44,0.21,0.7,1.54,1.56,ethernet_adapter
45,0.21,0.7,1.55,1.56,ethernet_adapter
46,0.21,0.7,1.54,1.56,ethernet_adapter
47,0.21,0.7,1.55,1.56,ethernet_adapter
48,0.21,0.7,1.55,1.56,ethernet_adapter
49,0.21,0.7,1.54,1.56,ethernet_adapter
50,0.2,0.69,1.54,1.56,ethernet_adapter
51,0.21,0.69,1.54,1.56,ethernet_adapter
52,0.21,0.69,1.54,1.56,ethernet_adapter
53,0.2,0.7,1.54,1.56,ethernet_adapter
54,0.21,0.7,1.54,1.56,ethernet_adapter
55,0.2,0.7,1.55,1.56,ethernet_adapter
56,0.2,0.7,1.55,1.56,ethernet_adapter
57,0.2,0.7,1.55,1.56,ethernet_adapter
