Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.8,1.78,metallic_pipe
2,0.0,0.0,1.8,1.78,metallic_pipe
3,0.0,0.0,1.8,1.77,metallic_pipe
4,0.0,0.0,1.8,1.78,metallic_pipe
5,0.0,0.0,1.8,1.78,metallic_pipe
6,0.0,0.0,1.8,1.77,metallic_pipe
7,0.0,0.0,1.8,1.77,metallic_pipe
8,0.0,0.0,1.81,1.77,metallic_pipe
9,0.0,0.0,1.81,1.78,metallic_pipe
10,0.0,0.0,1.8,1.78,metallic_pipe
11,0.0,0.0,1.7,1.7,metallic_pipe
12,0.0,0.0,1.57,1.59,metallic_pipe
13,0.0,0.0,1.53,1.54,metallic_pipe
14,0.28,0.33,1.53,1.53,metallic_pipe
15,0.23,0.84,1.53,1.54,metallic_pipe
16,0.25,0.98,1.54,1.54,metallic_pipe
17,0.25,1.07,1.55,1.54,metallic_pipe
18,0.25,1.2,1.55,1.54,metallic_pipe
19,0.24,1.35,1.55,1.53,metallic_pipe
20,0.23,1.4,1.56,1.55,metallic_pipe
21,0.22,1.43,1.56,1.54,metallic_pipe
22,0.22,1.47,1.56,1.55,metallic_pipe
23,0.22,1.48,1.56,1.55,metallic_pipe
24,0.21,1.5,1.56,1.55,metallic_pipe
25,0.21,1.51,1.56,1.55,metallic_pipe
26,0.21,1.52,1.57,1.55,metallic_pipe
27,0.21,1.52,1.57,1.55,metallic_pipe
28,0.2,1.52,1.56,1.55,metallic_pipe
29,0.2,1.52,1.56,1.55,metallic_pipe
30,0.19,1.53,1.56,1.55,metallic_pipe
31,0.2,1.53,1.57,1.55,metallic_pipe
32,0.19,1.54,1.57,1.55,metallic_pipe
33,0.1,1.54,1.57,1.55,metallic_pipe
34,0.06,1.54,1.57,1.55,metallic_pipe
35,0.01,1.55,1.57,1.55,metallic_pipe
36,0.03,1.55,1.57,1.56,metallic_pipe
37,0.02,1.55,1.57,1.55,metallic_pipe
38,0.0,1.55,1.57,1.56,metallic_pipe
39,0.0,1.56,1.57,1.55,metallic_pipe
40,0.0,1.56,1.57,1.56,metallic_pipe
41,0.0,1.56,1.57,1.56,metallic_pipe
42,0.0,1.56,1.57,1.56,metallic_pipe
43,0.0,1.57,1.57,1.55,metallic_pipe
44,0.0,1.57,1.57,1.55,metallic_pipe
45,0.0,1.57,1.58,1.55,metallic_pipe
46,0.0,1.56,1.57,1.56,metallic_pipe
47,0.0,1.56,1.57,1.55,metallic_pipe
48,0.0,1.57,1.58,1.55,metallic_pipe
49,0.0,1.56,1.57,1.56,metallic_pipe
50,0.0,1.57,1.57,1.55,metallic_pipe
51,0.0,1.57,1.57,1.56,metallic_pipe
52,0.0,1.57,1.58,1.55,metallic_pipe
53,0.0,1.57,1.58,1.56,metallic_pipe
54,0.0,1.57,1.57,1.56,metallic_pipe
55,0.0,1.57,1.58,1.56,metallic_pipe
56,0.0,1.57,1.58,1.56,metallic_pipe
57,0.0,1.57,1.58,1.56,metallic_pipe
58,0.0,1.58,1.58,1.56,metallic_pipe
59,0.0,1.58,1.58,1.56,metallic_pipe
60,0.0,1.58,1.57,1.55,metallic_pipe
61,0.0,1.58,1.58,1.55,metallic_pipe
62,0.0,1.58,1.58,1.56,metallic_pipe
63,0.0,1.58,1.58,1.56,metallic_pipe
64,0.0,1.58,1.57,1.56,metallic_pipe
65,0.0,1.58,1.58,1.56,metallic_pipe
66,0.0,1.58,1.58,1.56,metallic_pipe
67,0.0,1.58,1.58,1.56,metallic_pipe
68,0.0,1.58,1.58,1.56,metallic_pipe
69,0.0,1.58,1.58,1.56,metallic_pipe
70,0.0,1.58,1.58,1.56,metallic_pipe
71,0.0,1.59,1.58,1.56,metallic_pipe
72,0.0,1.59,1.58,1.56,metallic_pipe
73,0.0,1.59,1.58,1.56,metallic_pipe
74,0.0,1.59,1.58,1.56,metallic_pipe
75,0.0,1.59,1.58,1.56,metallic_pipe
76,0.0,1.59,1.58,1.56,metallic_pipe
77,0.0,1.59,1.58,1.56,metallic_pipe
78,0.0,1.59,1.58,1.56,metallic_pipe
79,0.0,1.59,1.58,1.56,metallic_pipe
80,0.0,1.58,1.58,1.56,metallic_pipe
81,0.0,1.59,1.58,1.56,metallic_pipe
82,0.0,1.59,1.58,1.56,metallic_pipe
83,0.0,1.59,1.58,1.56,metallic_pipe
84,0.0,1.59,1.58,1.56,metallic_pipe
85,0.0,1.59,1.58,1.56,metallic_pipe
86,0.0,1.59,1.58,1.56,metallic_pipe
87,0.0,1.59,1.58,1.56,metallic_pipe
88,0.0,1.59,1.58,1.56,metallic_pipe
89,0.0,1.59,1.58,1.56,metallic_pipe
90,0.0,1.59,1.58,1.57,metallic_pipe
91,0.0,1.59,1.58,1.56,metallic_pipe
92,0.0,1.59,1.58,1.56,metallic_pipe
93,0.0,1.59,1.58,1.56,metallic_pipe
94,0.0,1.6,1.58,1.56,metallic_pipe
95,0.0,1.59,1.58,1.56,metallic_pipe
96,0.0,1.6,1.58,1.56,metallic_pipe
97,0.0,1.59,1.58,1.56,metallic_pipe
98,0.0,1.6,1.58,1.56,metallic_pipe
99,0.0,1.6,1.58,1.56,metallic_pipe
100,0.0,1.6,1.58,1.56,metallic_pipe
101,0.0,1.6,1.58,1.57,metallic_pipe
102,0.0,1.59,1.59,1.56,metallic_pipe
103,0.0,1.6,1.58,1.56,metallic_pipe
104,0.0,1.6,1.59,1.56,metallic_pipe
