Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.78,1.77,mouse
2,0.0,0.0,1.78,1.77,mouse
3,0.0,0.0,1.78,1.77,mouse
4,0.0,0.0,1.78,1.77,mouse
5,0.0,0.0,1.78,1.77,mouse
6,0.0,0.0,1.78,1.77,mouse
7,0.0,0.0,1.78,1.77,mouse
8,0.0,0.0,1.79,1.77,mouse
9,0.0,0.0,1.79,1.77,mouse
10,0.0,0.0,1.78,1.77,mouse
11,0.0,0.0,1.69,1.67,mouse
12,0.49,1.61,1.71,1.64,mouse
13,1.87,2.62,1.71,1.63,mouse
14,2.22,3.03,1.71,1.62,mouse
15,2.78,3.27,1.7,1.62,mouse
16,3.08,3.43,1.7,1.61,mouse
17,3.31,3.43,1.7,1.61,mouse
18,3.32,3.44,1.7,1.61,mouse
19,3.3,3.47,1.7,1.61,mouse
20,3.34,3.46,1.7,1.61,mouse
21,3.33,3.46,1.7,1.61,mouse
22,3.32,3.46,1.7,1.6,mouse
23,3.31,3.46,1.7,1.61,mouse
24,3.31,3.46,1.7,1.61,mouse
25,3.31,3.47,1.7,1.61,mouse
26,3.31,3.47,1.71,1.61,mouse
27,3.3,3.47,1.71,1.61,mouse
28,3.3,3.47,1.7,1.61,mouse
29,3.27,3.46,1.7,1.61,mouse
30,3.28,3.47,1.7,1.61,mouse
31,3.26,3.47,1.71,1.61,mouse
32,3.25,3.47,1.7,1.61,mouse
33,3.26,3.47,1.7,1.61,mouse
34,3.25,3.47,1.71,1.61,mouse
35,3.24,3.47,1.71,1.61,mouse
36,3.24,3.47,1.71,1.61,mouse
37,3.24,3.47,1.71,1.61,mouse
38,3.24,3.47,1.71,1.62,mouse
39,3.24,3.48,1.71,1.61,mouse
40,3.24,3.47,1.71,1.61,mouse
41,3.24,3.47,1.71,1.61,mouse
42,3.24,3.47,1.71,1.62,mouse
43,3.22,3.47,1.71,1.61,mouse
44,3.23,3.47,1.71,1.62,mouse
45,3.23,3.47,1.71,1.61,mouse
46,3.23,3.47,1.71,1.61,mouse
47,3.23,3.47,1.71,1.61,mouse
48,3.23,3.47,1.71,1.61,mouse
49,3.23,3.47,1.71,1.62,mouse
50,3.23,3.47,1.71,1.61,mouse
51,3.22,3.47,1.71,1.62,mouse
52,3.22,3.47,1.71,1.61,mouse
53,3.22,3.48,1.71,1.61,mouse
54,3.22,3.47,1.71,1.62,mouse
55,3.22,3.47,1.71,1.62,mouse
56,3.22,3.47,1.71,1.62,mouse
57,3.22,3.47,1.71,1.62,mouse
58,3.23,3.47,1.71,1.61,mouse
59,3.22,3.47,1.71,1.62,mouse
60,3.22,3.47,1.71,1.61,mouse
61,3.22,3.47,1.71,1.61,mouse
62,3.22,3.47,1.71,1.61,mouse
63,3.22,3.47,1.71,1.61,mouse
64,3.21,3.47,1.71,1.62,mouse
65,3.22,3.47,1.71,1.61,mouse
66,3.21,3.47,1.71,1.62,mouse
67,3.22,3.47,1.71,1.62,mouse
68,3.22,3.47,1.71,1.62,mouse
69,3.21,3.47,1.71,1.62,mouse
70,3.22,3.47,1.71,1.62,mouse
71,3.22,3.48,1.71,1.61,mouse
72,3.21,3.47,1.71,1.62,mouse
73,3.21,3.48,1.71,1.62,mouse
74,3.21,3.48,1.71,1.61,mouse
75,3.21,3.47,1.71,1.62,mouse
76,3.22,3.47,1.71,1.61,mouse
77,3.21,3.47,1.71,1.62,mouse
78,3.21,3.47,1.71,1.61,mouse
79,3.21,3.48,1.71,1.62,mouse
80,3.21,3.47,1.71,1.62,mouse
81,3.22,3.47,1.71,1.62,mouse
82,3.21,3.47,1.71,1.62,mouse
83,3.21,3.47,1.71,1.61,mouse
84,3.21,3.48,1.71,1.62,mouse
