Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.81,1.77,pendrive
2,0.0,0.0,1.81,1.77,pendrive
3,0.0,0.0,1.81,1.77,pendrive
4,0.0,0.0,1.81,1.78,pendrive
5,0.0,0.0,1.81,1.77,pendrive
6,0.0,0.0,1.81,1.77,pendrive
7,0.0,0.0,1.8,1.77,pendrive
8,0.0,0.0,1.81,1.77,pendrive
9,0.0,0.0,1.81,1.77,pendrive
10,0.0,0.0,1.81,1.77,pendrive
11,0.0,0.0,1.7,1.69,pendrive
12,0.0,0.0,1.59,1.59,pendrive
13,0.0,0.0,1.54,1.54,pendrive
14,0.0,0.0,1.52,1.52,pendrive
15,0.0,0.0,1.51,1.52,pendrive
16,0.0,0.0,1.51,1.52,pendrive
17,0.0,0.0,1.52,1.52,pendrive
18,0.0,0.08,1.52,1.53,pendrive
19,0.0,0.0,1.53,1.52,pendrive
20,0.0,0.0,1.53,1.53,pendrive
21,0.0,0.0,1.53,1.52,pendrive
22,0.0,0.0,1.53,1.53,pendrive
23,0.0,0.0,1.53,1.53,pendrive
24,0.0,0.0,1.54,1.53,pendrive
25,0.0,0.0,1.54,1.53,pendrive
26,0.0,0.0,1.54,1.53,pendrive
27,0.0,0.0,1.54,1.53,pendrive
28,0.0,0.0,1.54,1.54,pendrive
29,0.0,0.0,1.54,1.53,pendrive
30,0.0,0.0,1.54,1.54,pendrive
31,0.0,0.0,1.54,1.54,pendrive
32,0.0,0.0,1.54,1.54,pendrive
33,0.0,0.0,1.54,1.54,pendrive
34,0.0,0.0,1.54,1.54,pendrive
35,0.0,0.0,1.54,1.54,pendrive
36,0.0,0.0,1.54,1.54,pendrive
37,0.0,0.0,1.55,1.54,pendrive
38,0.0,0.0,1.55,1.54,pendrive
39,0.0,0.0,1.55,1.54,pendrive
40,0.0,0.0,1.55,1.54,pendrive
41,0.0,0.0,1.55,1.54,pendrive
42,0.0,0.0,1.55,1.54,pendrive
43,0.0,0.0,1.55,1.54,pendrive
44,0.0,0.0,1.54,1.54,pendrive
45,0.0,0.0,1.55,1.54,pendrive
46,0.0,0.0,1.55,1.55,pendrive
47,0.0,0.0,1.55,1.54,pendrive
48,0.0,0.0,1.55,1.55,pendrive
49,0.0,0.0,1.55,1.55,pendrive
50,0.0,0.0,1.55,1.54,pendrive
51,0.0,0.0,1.55,1.54,pendrive
52,0.0,0.0,1.55,1.54,pendrive
53,0.0,0.0,1.55,1.54,pendrive
54,0.0,0.0,1.55,1.55,pendrive
55,0.0,0.0,1.55,1.54,pendrive
56,0.0,0.0,1.55,1.54,pendrive
57,0.0,0.0,1.55,1.55,pendrive
58,0.0,0.0,1.55,1.54,pendrive
59,0.0,0.0,1.55,1.55,pendrive
60,0.0,0.0,1.55,1.54,pendrive
61,0.0,0.0,1.55,1.55,pendrive
62,0.0,0.0,1.55,1.54,pendrive
63,0.0,0.0,1.55,1.54,pendrive
64,0.0,0.0,1.55,1.54,pendrive
65,0.0,0.0,1.55,1.54,pendrive
66,0.0,0.0,1.55,1.54,pendrive
67,0.0,0.0,1.55,1.55,pendrive
68,0.0,0.0,1.55,1.54,pendrive
69,0.0,0.0,1.55,1.55,pendrive
70,0.0,0.0,1.55,1.55,pendrive
71,0.0,0.0,1.56,1.54,pendrive
72,0.0,0.0,1.55,1.55,pendrive
73,0.0,0.0,1.55,1.54,pendrive
74,0.0,0.0,1.55,1.55,pendrive
75,0.0,0.0,1.55,1.55,pendrive
76,0.0,0.0,1.55,1.54,pendrive
77,0.0,0.0,1.55,1.54,pendrive
78,0.0,0.0,1.55,1.54,pendrive
79,0.0,0.0,1.56,1.54,pendrive
80,0.0,0.0,1.55,1.55,pendrive
81,0.0,0.0,1.56,1.54,pendrive
82,0.0,0.0,1.56,1.55,pendrive
83,0.0,0.0,1.55,1.55,pendrive
84,0.0,0.0,1.56,1.54,pendrive
85,0.0,0.0,1.55,1.55,pendrive
86,0.0,0.0,1.56,1.54,pendrive
