Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.79,1.78,plier
2,0.0,0.0,1.79,1.78,plier
3,0.0,0.0,1.79,1.78,plier
4,0.0,0.0,1.79,1.78,plier
5,0.0,0.0,1.79,1.78,plier
6,0.0,0.0,1.79,1.77,plier
7,0.0,0.0,1.78,1.78,plier
8,0.0,0.0,1.79,1.78,plier
9,0.0,0.0,1.79,1.78,plier
10,0.0,0.0,1.79,1.78,plier
11,0.0,0.0,1.7,1.69,plier
12,0.0,0.0,1.55,1.58,plier
13,0.46,0.0,1.53,1.53,plier
14,1.48,0.0,1.54,1.52,plier
15,1.88,0.15,1.54,1.53,plier
16,2.12,0.29,1.54,1.54,plier
17,2.22,0.29,1.54,1.54,plier
18,2.21,0.29,1.55,1.54,plier
19,2.19,0.28,1.54,1.54,plier
20,2.17,0.27,1.55,1.54,plier
21,2.17,0.25,1.55,1.54,plier
22,2.17,0.24,1.55,1.54,plier
23,2.17,0.23,1.54,1.55,plier
24,2.17,0.22,1.55,1.54,plier
25,2.16,0.2,1.55,1.55,plier
26,2.16,0.19,1.55,1.54,plier
27,2.15,0.19,1.55,1.55,plier
28,2.15,0.18,1.55,1.55,plier
29,2.15,0.18,1.55,1.55,plier
30,2.14,0.18,1.56,1.55,plier
31,2.14,0.18,1.55,1.55,plier
32,2.14,0.19,1.56,1.55,plier
33,2.14,0.18,1.55,1.55,plier
34,2.14,0.18,1.56,1.55,plier
35,2.14,0.19,1.56,1.55,plier
36,2.14,0.18,1.55,1.55,plier
37,2.14,0.18,1.56,1.55,plier
38,2.14,0.18,1.55,1.55,plier
39,2.14,0.18,1.56,1.55,plier
40,2.14,0.19,1.56,1.55,plier
41,2.13,0.18,1.55,1.56,plier
42,2.14,0.18,1.56,1.56,plier
43,2.14,0.18,1.56,1.55,plier
44,2.14,0.18,1.56,1.56,plier
45,2.14,0.19,1.56,1.55,plier
46,2.14,0.18,1.56,1.55,plier
47,2.14,0.19,1.57,1.55,plier
48,2.13,0.19,1.56,1.55,plier
49,2.13,0.18,1.56,1.56,plier
50,2.13,0.19,1.56,1.55,plier
51,2.13,0.18,1.56,1.56,plier
52,2.14,0.19,1.56,1.55,plier
53,2.13,0.19,1.56,1.55,plier
54,2.13,0.18,1.56,1.56,plier
55,2.13,0.19,1.56,1.56,plier
56,2.13,0.19,1.56,1.56,plier
57,2.14,0.19,1.56,1.56,plier
58,2.13,0.19,1.56,1.55,plier
59,2.13,0.18,1.56,1.56,plier
60,2.13,0.19,1.56,1.56,plier
61,2.14,0.19,1.56,1.55,plier
62,2.13,0.19,1.56,1.56,plier
63,2.13,0.19,1.57,1.56,plier
64,2.13,0.18,1.56,1.56,plier
65,2.13,0.19,1.56,1.56,plier
66,2.13,0.19,1.56,1.56,plier
67,2.13,0.18,1.56,1.56,plier
68,2.13,0.18,1.56,1.56,plier
69,2.13,0.18,1.56,1.56,plier
70,2.13,0.18,1.56,1.56,plier
71,2.13,0.18,1.56,1.56,plier
72,2.13,0.18,1.56,1.56,plier
73,2.14,0.18,1.57,1.56,plier
74,2.13,0.18,1.57,1.56,plier
75,2.13,0.18,1.56,1.56,plier
76,2.13,0.18,1.56,1.56,plier
77,2.13,0.18,1.56,1.56,plier
78,2.13,0.18,1.57,1.56,plier
79,2.13,0.18,1.57,1.56,plier
80,2.13,0.18,1.56,1.56,plier
81,2.13,0.17,1.57,1.56,plier
82,2.13,0.18,1.56,1.56,plier
83,2.13,0.18,1.56,1.56,plier
84,2.13,0.18,1.57,1.56,plier
85,2.13,0.18,1.56,1.56,plier
86,2.13,0.18,1.57,1.56,plier
87,2.14,0.18,1.57,1.57,plier
88,2.13,0.18,1.56,1.56,plier
89,2.13,0.18,1.57,1.56,plier
90,2.13,0.18,1.56,1.56,plier
91,2.13,0.18,1.56,1.56,plier
92,2.13,0.17,1.57,1.56,plier
93,2.13,0.18,1.57,1.56,plier
94,2.13,0.18,1.57,1.56,plier
95,2.13,0.18,1.56,1.56,plier
96,2.13,0.17,1.56,1.56,plier
97,2.13,0.18,1.57,1.56,plier
98,2.13,0.18,1.57,1.56,plier
