Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.8,1.77,scissor
2,0.0,0.0,1.8,1.77,scissor
3,0.0,0.0,1.8,1.77,scissor
4,0.0,0.0,1.8,1.77,scissor
5,0.0,0.0,1.8,1.77,scissor
6,0.0,0.0,1.8,1.77,scissor
7,0.0,0.0,1.8,1.78,scissor
8,0.0,0.0,1.8,1.77,scissor
9,0.0,0.0,1.8,1.77,scissor
10,0.0,0.0,1.8,1.78,scissor
11,0.0,0.1,1.71,1.68,scissor
12,0.68,0.96,1.72,1.69,scissor
13,1.09,0.91,1.71,1.68,scissor
14,1.02,0.77,1.7,1.67,scissor
15,0.87,0.65,1.69,1.67,scissor
16,0.79,0.57,1.68,1.66,scissor
17,0.78,0.55,1.68,1.66,scissor
18,0.77,0.53,1.67,1.65,scissor
19,0.75,0.44,1.67,1.65,scissor
20,0.73,0.43,1.67,1.65,scissor
21,0.72,0.43,1.67,1.65,scissor
22,0.7,0.42,1.67,1.65,scissor
23,0.69,0.41,1.67,1.65,scissor
24,0.67,0.4,1.67,1.65,scissor
25,0.65,0.4,1.67,1.66,scissor
26,0.65,0.4,1.67,1.65,scissor
27,0.65,0.39,1.67,1.65,scissor
28,0.64,0.36,1.67,1.65,scissor
29,0.64,0.37,1.67,1.65,scissor
30,0.64,0.37,1.67,1.65,scissor
31,0.63,0.37,1.67,1.65,scissor
32,0.63,0.37,1.67,1.66,scissor
33,0.63,0.37,1.67,1.65,scissor
34,0.63,0.36,1.67,1.65,scissor
35,0.62,0.35,1.68,1.65,scissor
36,0.62,0.35,1.67,1.66,scissor
37,0.61,0.34,1.68,1.65,scissor
38,0.61,0.34,1.67,1.65,scissor
39,0.6,0.34,1.68,1.65,scissor
40,0.61,0.34,1.67,1.65,scissor
41,0.61,0.34,1.67,1.66,scissor
42,0.61,0.34,1.67,1.66,scissor
43,0.61,0.34,1.68,1.66,scissor
44,0.61,0.34,1.68,1.65,scissor
45,0.61,0.33,1.67,1.65,scissor
46,0.61,0.34,1.68,1.65,scissor
47,0.61,0.34,1.68,1.65,scissor
48,0.61,0.34,1.68,1.65,scissor
49,0.6,0.34,1.67,1.66,scissor
50,0.61,0.33,1.68,1.65,scissor
51,0.61,0.34,1.67,1.66,scissor
52,0.6,0.34,1.68,1.65,scissor
53,0.6,0.33,1.68,1.66,scissor
54,0.6,0.32,1.68,1.66,scissor
55,0.6,0.32,1.67,1.66,scissor
56,0.59,0.32,1.68,1.66,scissor
57,0.59,0.32,1.68,1.65,scissor
58,0.59,0.32,1.68,1.65,scissor
59,0.59,0.32,1.68,1.66,scissor
60,0.59,0.32,1.68,1.65,scissor
61,0.58,0.32,1.68,1.65,scissor
62,0.58,0.31,1.67,1.66,scissor
63,0.59,0.31,1.68,1.65,scissor
64,0.59,0.31,1.67,1.66,scissor
65,0.58,0.31,1.68,1.65,scissor
66,0.58,0.31,1.68,1.65,scissor
67,0.58,0.31,1.68,1.66,scissor
68,0.57,0.3,1.67,1.66,scissor
69,0.58,0.31,1.68,1.65,scissor
70,0.58,0.3,1.68,1.65,scissor
71,0.58,0.3,1.68,1.66,scissor
72,0.56,0.31,1.68,1.65,scissor
73,0.57,0.31,1.68,1.66,scissor
74,0.57,0.3,1.68,1.65,scissor
75,0.57,0.3,1.68,1.66,scissor
76,0.56,0.3,1.68,1.65,scissor
77,0.57,0.3,1.68,1.66,scissor
78,0.56,0.3,1.68,1.65,scissor
79,0.56,0.3,1.68,1.66,scissor
80,0.56,0.3,1.68,1.66,scissor
81,0.55,0.29,1.68,1.66,scissor
82,0.55,0.3,1.68,1.65,scissor
83,0.55,0.3,1.68,1.66,scissor
84,0.56,0.3,1.68,1.65,scissor
85,0.55,0.3,1.68,1.66,scissor
86,0.55,0.3,1.68,1.66,scissor
