Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.78,1.76,screwdriver
2,0.0,0.0,1.78,1.76,screwdriver
3,0.0,0.0,1.78,1.76,screwdriver
4,0.0,0.0,1.78,1.76,screwdriver
5,0.0,0.0,1.78,1.76,screwdriver
6,0.0,0.0,1.78,1.76,screwdriver
7,0.0,0.0,1.77,1.77,screwdriver
8,0.0,0.0,1.78,1.77,screwdriver
9,0.0,0.0,1.78,1.77,screwdriver
10,0.0,0.0,1.78,1.77,screwdriver
11,0.0,0.0,1.68,1.68,screwdriver
12,1.19,0.0,1.63,1.57,screwdriver
13,2.54,0.1,1.63,1.53,screwdriver
14,3.26,1.46,1.64,1.54,screwdriver
15,3.55,2.35,1.63,1.55,screwdriver
16,3.84,2.81,1.64,1.54,screwdriver
17,3.99,3.17,1.63,1.55,screwdriver
18,4.06,3.38,1.63,1.55,screwdriver
19,4.12,3.47,1.63,1.54,screwdriver
20,4.15,3.52,1.63,1.55,screwdriver
21,4.19,3.58,1.63,1.55,screwdriver
22,4.21,3.61,1.63,1.55,screwdriver
23,4.23,3.63,1.63,1.55,screwdriver
24,4.24,3.66,1.63,1.55,screwdriver
25,4.25,3.67,1.63,1.55,screwdriver
26,4.26,3.68,1.63,1.55,screwdriver
27,4.26,3.7,1.63,1.55,screwdriver
28,4.26,3.7,1.63,1.55,screwdriver
29,4.26,3.71,1.64,1.55,screwdriver
30,4.26,3.72,1.64,1.55,screwdriver
31,4.27,3.72,1.64,1.55,screwdriver
32,4.27,3.73,1.64,1.55,screwdriver
33,4.27,3.73,1.63,1.55,screwdriver
34,4.27,3.73,1.64,1.55,screwdriver
35,4.27,3.72,1.64,1.55,screwdriver
36,4.27,3.74,1.63,1.55,screwdriver
37,4.27,3.75,1.63,1.56,screwdriver
38,4.27,3.76,1.63,1.55,screwdriver
39,4.27,3.77,1.63,1.56,screwdriver
40,4.27,3.78,1.64,1.55,screwdriver
41,4.27,3.79,1.64,1.56,screwdriver
42,4.27,3.8,1.64,1.56,screwdriver
43,4.27,3.8,1.64,1.56,screwdriver
44,4.27,3.81,1.64,1.55,screwdriver
45,4.28,3.81,1.64,1.55,screwdriver
46,4.27,3.81,1.64,1.56,screwdriver
47,4.27,3.81,1.64,1.56,screwdriver
48,4.28,3.82,1.64,1.56,screwdriver
49,4.27,3.81,1.64,1.56,screwdriver
50,4.27,3.81,1.64,1.56,screwdriver
51,4.27,3.83,1.64,1.56,screwdriver
52,4.27,3.84,1.64,1.56,screwdriver
53,4.27,3.83,1.64,1.56,screwdriver
54,4.27,3.85,1.64,1.56,screwdriver
55,4.27,3.84,1.64,1.55,screwdriver
56,4.26,3.85,1.64,1.56,screwdriver
57,4.27,3.85,1.64,1.56,screwdriver
58,4.27,3.84,1.64,1.55,screwdriver
59,4.27,3.85,1.64,1.56,screwdriver
60,4.27,3.85,1.64,1.56,screwdriver
61,4.27,3.84,1.64,1.55,screwdriver
62,4.27,3.85,1.64,1.56,screwdriver
63,4.27,3.85,1.64,1.56,screwdriver
64,4.27,3.85,1.64,1.56,screwdriver
65,4.27,3.86,1.64,1.56,screwdriver
66,4.27,3.87,1.64,1.56,screwdriver
67,4.27,3.86,1.64,1.56,screwdriver
68,4.26,3.87,1.64,1.56,screwdriver
69,4.26,3.87,1.64,1.56,screwdriver
70,4.27,3.87,1.64,1.56,screwdriver
71,4.27,3.88,1.64,1.56,screwdriver
72,4.27,3.87,1.64,1.56,screwdriver
73,4.26,3.88,1.64,1.56,screwdriver
74,4.26,3.88,1.64,1.56,screwdriver
75,4.26,3.87,1.64,1.56,screwdriver
76,4.26,3.88,1.64,1.56,screwdriver
77,4.27,3.88,1.64,1.56,screwdriver
78,4.26,3.88,1.64,1.56,screwdriver
79,4.27,3.88,1.64,1.56,screwdriver
80,4.27,3.89,1.64,1.56,screwdriver
81,4.26,3.88,1.64,1.56,screwdriver
82,4.26,3.89,1.64,1.56,screwdriver
83,4.26,3.9,1.64,1.56,screwdriver
84,4.26,3.9,1.64,1.56,screwdriver
85,4.26,3.9,1.64,1.56,screwdriver
86,4.26,3.91,1.64,1.56,screwdriver
87,4.26,3.91,1.65,1.56,screwdriver
88,4.25,3.91,1.64,1.56,screwdriver
89,4.26,3.91,1.64,1.56,screwdriver
90,4.25,3.89,1.64,1.56,screwdriver
91,4.25,3.9,1.64,1.56,screwdriver
92,4.25,3.9,1.64,1.56,screwdriver
93,4.24,3.89,1.64,1.56,screwdriver
94,4.24,3.88,1.65,1.56,screwdriver
95,4.24,3.9,1.65,1.56,screwdriver
96,4.24,3.91,1.65,1.56,screwdriver
97,4.24,3.9,1.65,1.56,screwdriver
98,4.24,3.9,1.64,1.56,screwdriver
99,4.23,3.9,1.65,1.56,screwdriver
100,4.23,3.9,1.65,1.56,screwdriver
101,4.24,3.89,1.64,1.56,screwdriver
102,4.23,3.89,1.64,1.56,screwdriver
103,4.23,3.89,1.64,1.56,screwdriver
104,4.23,3.89,1.64,1.56,screwdriver
105,4.24,3.89,1.64,1.56,screwdriver
106,4.23,3.88,1.64,1.56,screwdriver
107,4.23,3.89,1.64,1.56,screwdriver
108,4.23,3.88,1.64,1.56,screwdriver
109,4.24,3.89,1.65,1.56,screwdriver
110,4.23,3.88,1.65,1.56,screwdriver
111,4.24,3.87,1.64,1.56,screwdriver
112,4.25,3.89,1.65,1.56,screwdriver
113,4.25,3.87,1.65,1.56,screwdriver
114,4.24,3.89,1.64,1.56,screwdriver
115,4.25,3.89,1.64,1.56,screwdriver
116,4.24,3.89,1.64,1.56,screwdriver
117,4.24,3.89,1.64,1.56,screwdriver
118,4.23,3.89,1.65,1.56,screwdriver
119,4.24,3.88,1.64,1.56,screwdriver
120,4.25,3.86,1.65,1.56,screwdriver
121,4.25,3.9,1.65,1.56,screwdriver
122,4.25,3.91,1.65,1.56,screwdriver
123,4.25,3.91,1.65,1.56,screwdriver
124,4.25,3.92,1.64,1.56,screwdriver
125,4.25,3.93,1.64,1.56,screwdriver
126,4.25,3.93,1.65,1.56,screwdriver
127,4.25,3.93,1.64,1.56,screwdriver
128,4.23,3.92,1.64,1.56,screwdriver
129,4.22,3.91,1.64,1.56,screwdriver
130,4.22,3.92,1.64,1.56,screwdriver
131,4.22,3.92,1.64,1.56,screwdriver
132,4.22,3.91,1.65,1.56,screwdriver
133,4.22,3.92,1.65,1.56,screwdriver
134,4.21,3.92,1.65,1.56,screwdriver
135,4.2,3.92,1.65,1.56,screwdriver
136,4.21,3.92,1.65,1.56,screwdriver
137,4.21,3.92,1.64,1.57,screwdriver
138,4.21,3.93,1.65,1.56,screwdriver
139,4.21,3.92,1.65,1.56,screwdriver
140,4.22,3.92,1.65,1.56,screwdriver
141,4.21,3.92,1.64,1.56,screwdriver
142,4.21,3.92,1.65,1.56,screwdriver
143,4.22,3.92,1.65,1.56,screwdriver
144,4.21,3.92,1.64,1.56,screwdriver
145,4.21,3.92,1.64,1.56,screwdriver
146,4.22,3.93,1.65,1.56,screwdriver
147,4.21,3.92,1.65,1.57,screwdriver
148,4.21,3.93,1.65,1.56,screwdriver
149,4.21,3.93,1.65,1.56,screwdriver
150,4.21,3.92,1.65,1.56,screwdriver
1,0.0,0.0,1.78,1.76,screwdriver
2,0.0,0.0,1.78,1.77,screwdriver
3,0.0,0.0,1.78,1.77,screwdriver
4,0.0,0.0,1.78,1.77,screwdriver
5,0.0,0.0,1.78,1.77,screwdriver
6,0.0,0.0,1.78,1.77,screwdriver
7,0.0,0.0,1.78,1.77,screwdriver
8,0.0,0.0,1.78,1.77,screwdriver
9,0.0,0.0,1.78,1.77,screwdriver
10,0.0,0.0,1.78,1.77,screwdriver
11,0.0,0.0,1.7,1.69,screwdriver
12,0.31,0.0,1.58,1.58,screwdriver
13,1.87,1.12,1.6,1.57,screwdriver
14,2.69,2.27,1.61,1.57,screwdriver
15,3.25,2.83,1.61,1.57,screwdriver
16,3.64,3.18,1.61,1.57,screwdriver
17,3.83,3.36,1.61,1.57,screwdriver
18,3.95,3.55,1.61,1.57,screwdriver
19,4.02,3.69,1.61,1.57,screwdriver
20,4.06,3.79,1.61,1.57,screwdriver
21,4.07,3.85,1.61,1.57,screwdriver
22,4.05,3.88,1.61,1.57,screwdriver
23,4.1,3.91,1.61,1.57,screwdriver
24,4.11,3.92,1.61,1.57,screwdriver
25,4.12,3.94,1.61,1.57,screwdriver
26,4.12,3.94,1.61,1.57,screwdriver
27,4.13,3.95,1.61,1.57,screwdriver
28,4.13,3.96,1.62,1.57,screwdriver
29,4.13,3.96,1.61,1.57,screwdriver
30,4.14,3.97,1.61,1.58,screwdriver
31,4.14,3.97,1.62,1.57,screwdriver
32,4.14,3.98,1.62,1.57,screwdriver
33,4.15,3.98,1.62,1.57,screwdriver
34,4.15,3.99,1.62,1.57,screwdriver
35,4.15,3.98,1.62,1.57,screwdriver
36,4.15,3.98,1.62,1.57,screwdriver
37,4.15,3.99,1.62,1.57,screwdriver
38,4.15,3.98,1.62,1.57,screwdriver
39,4.15,3.99,1.62,1.57,screwdriver
40,4.15,3.99,1.62,1.57,screwdriver
41,4.15,3.99,1.62,1.57,screwdriver
42,4.15,3.99,1.62,1.57,screwdriver
43,4.16,3.99,1.62,1.57,screwdriver
44,4.16,4.0,1.62,1.57,screwdriver
45,4.16,3.99,1.62,1.57,screwdriver
46,4.16,4.01,1.62,1.57,screwdriver
47,4.16,4.01,1.62,1.57,screwdriver
48,4.16,4.0,1.62,1.57,screwdriver
49,4.16,4.0,1.62,1.57,screwdriver
50,4.16,4.01,1.62,1.57,screwdriver
51,4.16,4.01,1.62,1.58,screwdriver
52,4.17,4.02,1.62,1.57,screwdriver
53,4.16,4.02,1.62,1.57,screwdriver
54,4.16,4.01,1.62,1.57,screwdriver
55,4.16,4.02,1.62,1.57,screwdriver
56,4.17,4.01,1.62,1.58,screwdriver
57,4.17,4.02,1.62,1.57,screwdriver
58,4.16,4.02,1.62,1.58,screwdriver
59,4.16,4.02,1.62,1.57,screwdriver
60,4.16,4.02,1.62,1.57,screwdriver
61,4.17,4.02,1.62,1.58,screwdriver
62,4.17,4.03,1.62,1.57,screwdriver
63,4.16,4.02,1.62,1.57,screwdriver
64,4.17,4.02,1.62,1.57,screwdriver
65,4.16,4.03,1.62,1.57,screwdriver
66,4.16,4.04,1.62,1.57,screwdriver
67,4.17,4.03,1.62,1.57,screwdriver
68,4.16,4.02,1.62,1.57,screwdriver
69,4.17,4.02,1.62,1.58,screwdriver
70,4.17,4.02,1.62,1.59,screwdriver
71,4.16,4.02,1.62,1.57,screwdriver
72,4.17,4.03,1.62,1.57,screwdriver
73,4.17,4.02,1.62,1.57,screwdriver
74,4.17,4.03,1.62,1.57,screwdriver
75,4.17,4.03,1.62,1.58,screwdriver
76,4.17,4.03,1.62,1.57,screwdriver
77,4.17,4.02,1.62,1.58,screwdriver
78,4.16,4.02,1.62,1.58,screwdriver
79,4.17,4.03,1.63,1.57,screwdriver
80,4.17,4.03,1.63,1.58,screwdriver
81,4.17,4.02,1.63,1.57,screwdriver
82,4.17,4.03,1.62,1.58,screwdriver
83,4.17,4.02,1.62,1.58,screwdriver
84,4.17,4.03,1.62,1.58,screwdriver
85,4.17,4.03,1.62,1.58,screwdriver
86,4.17,4.03,1.62,1.57,screwdriver
87,4.17,4.03,1.62,1.57,screwdriver
88,4.17,4.03,1.62,1.57,screwdriver
89,4.17,4.03,1.62,1.58,screwdriver
90,4.17,4.03,1.62,1.58,screwdriver
91,4.17,4.03,1.62,1.57,screwdriver
92,4.17,4.04,1.63,1.57,screwdriver
93,4.17,4.04,1.63,1.57,screwdriver
94,4.17,4.04,1.63,1.57,screwdriver
95,4.17,4.04,1.62,1.58,screwdriver
96,4.17,4.03,1.62,1.58,screwdriver
97,4.17,4.04,1.62,1.58,screwdriver
98,4.17,4.04,1.62,1.58,screwdriver
99,4.17,4.04,1.63,1.58,screwdriver
100,4.17,4.04,1.62,1.58,screwdriver
101,4.17,4.04,1.62,1.58,screwdriver
102,4.17,4.04,1.62,1.58,screwdriver
103,4.17,4.05,1.62,1.58,screwdriver
104,4.17,4.04,1.63,1.58,screwdriver
105,4.17,4.04,1.63,1.58,screwdriver
106,4.17,4.05,1.63,1.58,screwdriver
107,4.17,4.04,1.63,1.58,screwdriver
108,4.17,4.05,1.62,1.58,screwdriver
109,4.18,4.04,1.63,1.58,screwdriver
110,4.17,4.05,1.62,1.58,screwdriver
111,4.18,4.05,1.62,1.58,screwdriver
112,4.17,4.05,1.63,1.58,screwdriver
113,4.17,4.06,1.62,1.58,screwdriver
114,4.17,4.06,1.63,1.58,screwdriver
115,4.17,4.06,1.63,1.58,screwdriver
116,4.17,4.06,1.63,1.58,screwdriver
117,4.18,4.06,1.63,1.58,screwdriver
118,4.17,4.06,1.63,1.58,screwdriver
119,4.18,4.06,1.63,1.58,screwdriver
120,4.17,4.06,1.63,1.58,screwdriver
121,4.18,4.06,1.62,1.58,screwdriver
122,4.18,4.05,1.63,1.58,screwdriver
123,4.18,4.06,1.63,1.58,screwdriver
124,4.18,4.06,1.62,1.58,screwdriver
125,4.18,4.06,1.63,1.58,screwdriver
126,4.18,4.06,1.63,1.58,screwdriver
127,4.18,4.06,1.63,1.58,screwdriver
128,4.17,4.06,1.63,1.58,screwdriver
129,4.18,4.06,1.63,1.58,screwdriver
130,4.18,4.06,1.63,1.58,screwdriver
131,4.18,4.06,1.63,1.58,screwdriver
132,4.18,4.07,1.63,1.58,screwdriver
133,4.17,4.06,1.63,1.58,screwdriver
134,4.18,4.06,1.62,1.58,screwdriver
135,4.18,4.06,1.62,1.58,screwdriver
136,4.18,4.06,1.63,1.58,screwdriver
137,4.18,4.06,1.63,1.58,screwdriver
138,4.18,4.07,1.63,1.58,screwdriver
139,4.18,4.06,1.63,1.58,screwdriver
140,4.18,4.06,1.63,1.57,screwdriver
141,4.17,4.06,1.63,1.58,screwdriver
142,4.18,4.06,1.63,1.58,screwdriver
143,4.18,4.06,1.63,1.58,screwdriver
144,4.17,4.05,1.63,1.58,screwdriver
145,4.17,4.05,1.63,1.58,screwdriver
146,4.17,4.07,1.63,1.58,screwdriver
147,4.18,4.06,1.63,1.58,screwdriver
148,4.18,4.06,1.63,1.58,screwdriver
149,4.18,4.07,1.63,1.58,screwdriver
150,4.18,4.07,1.63,1.58,screwdriver
1,0.0,0.0,1.78,1.77,screwdriver
2,0.0,0.0,1.78,1.77,screwdriver
3,0.0,0.0,1.78,1.77,screwdriver
4,0.0,0.0,1.78,1.77,screwdriver
5,0.0,0.0,1.78,1.77,screwdriver
6,0.0,0.0,1.79,1.77,screwdriver
7,0.0,0.0,1.78,1.77,screwdriver
8,0.0,0.0,1.78,1.77,screwdriver
9,0.0,0.0,1.78,1.77,screwdriver
10,0.0,0.0,1.78,1.77,screwdriver
11,0.0,0.0,1.71,1.7,screwdriver
12,0.41,0.0,1.59,1.58,screwdriver
13,1.69,0.36,1.61,1.55,screwdriver
14,2.46,1.75,1.62,1.55,screwdriver
15,2.97,2.49,1.63,1.55,screwdriver
16,3.19,2.93,1.63,1.55,screwdriver
17,3.37,3.26,1.63,1.56,screwdriver
18,3.49,3.39,1.63,1.55,screwdriver
19,3.55,3.48,1.63,1.55,screwdriver
20,3.57,3.54,1.63,1.54,screwdriver
21,3.6,3.61,1.63,1.55,screwdriver
22,3.63,3.67,1.63,1.55,screwdriver
23,3.63,3.67,1.63,1.55,screwdriver
24,3.64,3.71,1.64,1.55,screwdriver
25,3.64,3.7,1.63,1.56,screwdriver
26,3.64,3.69,1.64,1.55,screwdriver
27,3.64,3.71,1.64,1.56,screwdriver
28,3.64,3.71,1.64,1.56,screwdriver
29,3.64,3.72,1.64,1.56,screwdriver
30,3.65,3.73,1.63,1.56,screwdriver
31,3.65,3.72,1.64,1.56,screwdriver
32,3.65,3.74,1.64,1.56,screwdriver
33,3.65,3.75,1.64,1.56,screwdriver
34,3.66,3.76,1.64,1.56,screwdriver
35,3.66,3.76,1.64,1.56,screwdriver
36,3.66,3.77,1.64,1.56,screwdriver
37,3.66,3.77,1.64,1.56,screwdriver
38,3.66,3.78,1.64,1.56,screwdriver
39,3.67,3.78,1.64,1.56,screwdriver
40,3.66,3.78,1.64,1.56,screwdriver
41,3.67,3.79,1.64,1.56,screwdriver
42,3.67,3.79,1.64,1.56,screwdriver
43,3.67,3.78,1.64,1.56,screwdriver
44,3.67,3.79,1.64,1.56,screwdriver
45,3.67,3.8,1.64,1.56,screwdriver
46,3.67,3.79,1.64,1.56,screwdriver
47,3.67,3.79,1.64,1.56,screwdriver
48,3.67,3.8,1.64,1.56,screwdriver
49,3.67,3.79,1.64,1.56,screwdriver
50,3.67,3.8,1.64,1.56,screwdriver
51,3.67,3.8,1.64,1.56,screwdriver
52,3.67,3.8,1.64,1.56,screwdriver
53,3.67,3.79,1.64,1.56,screwdriver
54,3.66,3.79,1.64,1.56,screwdriver
55,3.67,3.8,1.64,1.56,screwdriver
56,3.66,3.79,1.64,1.56,screwdriver
57,3.66,3.79,1.64,1.56,screwdriver
58,3.66,3.8,1.64,1.56,screwdriver
59,3.66,3.81,1.64,1.56,screwdriver
60,3.65,3.8,1.64,1.56,screwdriver
61,3.66,3.81,1.64,1.56,screwdriver
62,3.68,3.84,1.64,1.56,screwdriver
63,3.68,3.84,1.64,1.56,screwdriver
64,3.65,3.81,1.64,1.56,screwdriver
