Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
0,0.0,0.0,1.79,1.77,silicon_block
1,0.0,0.0,1.79,1.77,silicon_block
2,0.0,0.0,1.79,1.77,silicon_block
3,0.0,0.0,1.79,1.77,silicon_block
4,0.0,0.0,1.79,1.77,silicon_block
5,0.0,0.0,1.79,1.77,silicon_block
6,0.0,0.0,1.79,1.77,silicon_block
7,0.0,0.0,1.79,1.77,silicon_block
8,0.0,0.0,1.79,1.77,silicon_block
9,0.0,0.0,1.79,1.77,silicon_block
10,0.0,0.0,1.67,1.68,silicon_block
11,0.09,0.0,1.59,1.56,silicon_block
12,0.83,0.17,1.57,1.53,silicon_block
13,1.19,0.88,1.57,1.54,silicon_block
14,1.31,1.04,1.58,1.55,silicon_block
15,1.36,1.12,1.58,1.54,silicon_block
16,1.4,1.16,1.58,1.54,silicon_block
17,1.44,1.18,1.58,1.54,silicon_block
18,1.45,1.2,1.59,1.54,silicon_block
19,1.45,1.19,1.58,1.55,silicon_block
20,1.45,1.21,1.59,1.54,silicon_block
21,1.46,1.21,1.59,1.54,silicon_block
22,1.47,1.2,1.58,1.55,silicon_block
23,1.47,1.2,1.58,1.55,silicon_block
24,1.47,1.21,1.58,1.55,silicon_block
25,1.47,1.21,1.58,1.55,silicon_block
26,1.47,1.21,1.59,1.55,silicon_block
27,1.47,1.21,1.59,1.55,silicon_block
28,1.47,1.21,1.59,1.55,silicon_block
29,1.47,1.21,1.59,1.55,silicon_block
30,1.47,1.22,1.59,1.55,silicon_block
31,1.47,1.22,1.59,1.55,silicon_block
32,1.47,1.21,1.59,1.56,silicon_block
33,1.47,1.22,1.59,1.55,silicon_block
34,1.47,1.22,1.59,1.55,silicon_block
35,1.47,1.21,1.59,1.55,silicon_block
36,1.48,1.21,1.59,1.55,silicon_block
37,1.48,1.21,1.59,1.55,silicon_block
38,1.48,1.21,1.59,1.55,silicon_block
39,1.48,1.21,1.59,1.55,silicon_block
40,1.48,1.21,1.59,1.56,silicon_block
41,1.48,1.22,1.6,1.55,silicon_block
42,1.47,1.22,1.59,1.55,silicon_block
43,1.48,1.22,1.6,1.55,silicon_block
44,1.48,1.21,1.6,1.55,silicon_block
45,1.48,1.21,1.59,1.56,silicon_block
46,1.48,1.21,1.6,1.56,silicon_block
47,1.48,1.22,1.6,1.55,silicon_block
48,1.48,1.21,1.59,1.56,silicon_block
49,1.48,1.21,1.59,1.56,silicon_block
50,1.48,1.21,1.59,1.56,silicon_block
51,1.48,1.21,1.59,1.57,silicon_block
52,1.47,1.21,1.59,1.56,silicon_block
53,1.48,1.21,1.59,1.55,silicon_block
54,1.47,1.22,1.6,1.55,silicon_block
55,1.47,1.22,1.6,1.56,silicon_block
56,1.47,1.22,1.6,1.56,silicon_block
57,1.48,1.22,1.6,1.56,silicon_block
58,1.48,1.21,1.6,1.56,silicon_block
59,1.47,1.22,1.6,1.56,silicon_block
60,1.48,1.22,1.6,1.55,silicon_block
61,1.48,1.21,1.6,1.55,silicon_block
62,1.48,1.21,1.59,1.56,silicon_block
63,1.47,1.21,1.59,1.56,silicon_block
64,1.48,1.21,1.59,1.56,silicon_block
65,1.47,1.21,1.6,1.56,silicon_block
66,1.48,1.21,1.59,1.56,silicon_block
67,1.47,1.22,1.6,1.56,silicon_block
68,1.47,1.22,1.6,1.55,silicon_block
69,1.47,1.22,1.6,1.56,silicon_block
70,1.47,1.22,1.6,1.55,silicon_block
71,1.47,1.21,1.6,1.56,silicon_block
72,1.46,1.22,1.6,1.56,silicon_block
73,1.48,1.22,1.6,1.56,silicon_block
74,1.47,1.21,1.6,1.56,silicon_block
75,1.47,1.21,1.6,1.56,silicon_block
76,1.47,1.21,1.6,1.56,silicon_block
77,1.47,1.21,1.6,1.56,silicon_block
78,1.47,1.2,1.6,1.56,silicon_block
79,1.47,1.21,1.6,1.56,silicon_block
80,1.47,1.22,1.6,1.56,silicon_block
81,1.47,1.22,1.6,1.56,silicon_block
82,1.47,1.22,1.6,1.56,silicon_block
83,1.47,1.22,1.6,1.56,silicon_block
84,1.47,1.21,1.6,1.56,silicon_block
85,1.47,1.2,1.6,1.56,silicon_block
86,1.47,1.22,1.6,1.56,silicon_block
87,1.47,1.21,1.6,1.56,silicon_block
88,1.47,1.21,1.6,1.56,silicon_block
89,1.47,1.21,1.6,1.56,silicon_block
90,1.47,1.21,1.6,1.56,silicon_block
91,1.47,1.21,1.6,1.56,silicon_block
92,1.47,1.21,1.6,1.56,silicon_block
93,1.47,1.21,1.6,1.56,silicon_block
94,1.47,1.22,1.6,1.56,silicon_block
95,1.47,1.22,1.6,1.56,silicon_block
96,1.47,1.22,1.6,1.56,silicon_block
97,1.47,1.21,1.6,1.56,silicon_block
98,1.47,1.22,1.6,1.56,silicon_block
99,1.47,1.21,1.6,1.56,silicon_block
100,1.47,1.21,1.6,1.56,silicon_block
101,1.47,1.21,1.6,1.56,silicon_block
102,1.47,1.21,1.6,1.56,silicon_block
103,1.47,1.21,1.6,1.56,silicon_block
104,1.47,1.21,1.6,1.56,silicon_block
105,1.47,1.21,1.6,1.56,silicon_block
106,1.47,1.22,1.6,1.56,silicon_block
107,1.47,1.22,1.6,1.56,silicon_block
108,1.47,1.22,1.61,1.56,silicon_block
109,1.47,1.21,1.6,1.56,silicon_block
110,1.47,1.21,1.6,1.56,silicon_block
111,1.46,1.22,1.6,1.56,silicon_block
112,1.47,1.22,1.6,1.56,silicon_block
113,1.47,1.2,1.6,1.56,silicon_block
114,1.47,1.21,1.6,1.56,silicon_block
115,1.47,1.21,1.6,1.56,silicon_block
116,1.47,1.21,1.6,1.56,silicon_block
117,1.47,1.21,1.6,1.56,silicon_block
118,1.47,1.21,1.6,1.56,silicon_block
119,1.47,1.22,1.6,1.56,silicon_block
120,1.47,1.21,1.6,1.56,silicon_block
121,1.47,1.21,1.6,1.56,silicon_block
122,1.47,1.22,1.6,1.56,silicon_block
123,1.47,1.21,1.6,1.56,silicon_block
124,1.47,1.22,1.6,1.56,silicon_block
125,1.47,1.22,1.6,1.56,silicon_block
126,1.47,1.21,1.6,1.57,silicon_block
127,1.47,1.21,1.6,1.57,silicon_block
128,1.47,1.21,1.6,1.56,silicon_block
129,1.47,1.21,1.6,1.56,silicon_block
130,1.47,1.21,1.6,1.56,silicon_block
131,1.47,1.21,1.6,1.56,silicon_block
132,1.47,1.22,1.61,1.56,silicon_block
133,1.46,1.22,1.61,1.56,silicon_block
134,1.47,1.22,1.6,1.56,silicon_block
135,1.47,1.22,1.6,1.56,silicon_block
136,1.47,1.21,1.6,1.56,silicon_block
137,1.47,1.22,1.6,1.56,silicon_block
138,1.47,1.22,1.61,1.56,silicon_block
139,1.47,1.21,1.6,1.55,silicon_block
140,1.46,1.21,1.6,1.57,silicon_block
141,1.47,1.21,1.6,1.57,silicon_block
142,1.47,1.21,1.6,1.56,silicon_block
143,1.47,1.21,1.6,1.56,silicon_block
144,1.47,1.21,1.6,1.56,silicon_block
145,1.47,1.22,1.61,1.56,silicon_block
146,1.46,1.21,1.61,1.56,silicon_block
147,1.47,1.21,1.6,1.56,silicon_block
148,1.47,1.22,1.61,1.56,silicon_block
149,1.47,1.21,1.6,1.57,silicon_block
0,0.0,0.0,1.8,1.77,silicon_block
1,0.0,0.0,1.8,1.77,silicon_block
2,0.0,0.0,1.8,1.77,silicon_block
3,0.0,0.0,1.79,1.77,silicon_block
4,0.0,0.0,1.67,1.67,silicon_block
5,0.08,0.0,1.59,1.55,silicon_block
6,0.85,0.27,1.58,1.53,silicon_block
7,1.23,0.91,1.58,1.54,silicon_block
8,1.35,1.05,1.58,1.54,silicon_block
9,1.38,1.13,1.58,1.54,silicon_block
10,1.42,1.17,1.58,1.54,silicon_block
11,1.44,1.19,1.59,1.54,silicon_block
12,1.46,1.2,1.58,1.54,silicon_block
13,1.47,1.21,1.59,1.54,silicon_block
14,1.47,1.22,1.59,1.55,silicon_block
15,1.48,1.22,1.59,1.54,silicon_block
16,1.48,1.22,1.59,1.54,silicon_block
17,1.48,1.22,1.59,1.55,silicon_block
18,1.48,1.21,1.58,1.55,silicon_block
19,1.48,1.22,1.59,1.55,silicon_block
20,1.48,1.22,1.59,1.55,silicon_block
21,1.48,1.22,1.59,1.55,silicon_block
22,1.49,1.22,1.59,1.55,silicon_block
23,1.48,1.22,1.59,1.55,silicon_block
24,1.48,1.22,1.59,1.55,silicon_block
25,1.48,1.22,1.59,1.55,silicon_block
26,1.48,1.23,1.59,1.55,silicon_block
27,1.48,1.22,1.59,1.55,silicon_block
28,1.48,1.23,1.59,1.55,silicon_block
29,1.48,1.23,1.6,1.55,silicon_block
30,1.48,1.22,1.61,1.55,silicon_block
31,1.48,1.22,1.59,1.56,silicon_block
32,1.48,1.22,1.6,1.55,silicon_block
33,1.48,1.22,1.59,1.55,silicon_block
34,1.48,1.23,1.6,1.55,silicon_block
35,1.48,1.23,1.6,1.55,silicon_block
36,1.48,1.23,1.6,1.56,silicon_block
37,1.48,1.23,1.61,1.55,silicon_block
38,1.48,1.23,1.6,1.55,silicon_block
39,1.48,1.23,1.6,1.55,silicon_block
40,1.48,1.23,1.6,1.55,silicon_block
41,1.48,1.23,1.6,1.56,silicon_block
42,1.47,1.23,1.6,1.55,silicon_block
43,1.48,1.23,1.6,1.55,silicon_block
44,1.48,1.22,1.59,1.56,silicon_block
45,1.47,1.23,1.6,1.56,silicon_block
46,1.48,1.22,1.6,1.56,silicon_block
47,1.47,1.23,1.6,1.55,silicon_block
48,1.47,1.23,1.6,1.55,silicon_block
49,1.47,1.23,1.6,1.55,silicon_block
50,1.47,1.23,1.6,1.56,silicon_block
51,1.47,1.23,1.6,1.56,silicon_block
52,1.47,1.23,1.6,1.56,silicon_block
53,1.47,1.23,1.6,1.56,silicon_block
54,1.48,1.23,1.6,1.56,silicon_block
55,1.48,1.23,1.61,1.56,silicon_block
56,1.48,1.23,1.6,1.56,silicon_block
57,1.48,1.22,1.59,1.56,silicon_block
58,1.47,1.23,1.6,1.56,silicon_block
59,1.47,1.22,1.6,1.56,silicon_block
60,1.47,1.23,1.6,1.56,silicon_block
61,1.47,1.23,1.6,1.56,silicon_block
62,1.47,1.23,1.6,1.56,silicon_block
63,1.48,1.23,1.6,1.56,silicon_block
64,1.47,1.23,1.6,1.56,silicon_block
65,1.48,1.23,1.6,1.56,silicon_block
66,1.47,1.23,1.6,1.56,silicon_block
67,1.47,1.23,1.6,1.56,silicon_block
68,1.47,1.23,1.6,1.56,silicon_block
69,1.48,1.23,1.6,1.56,silicon_block
70,1.47,1.23,1.6,1.56,silicon_block
71,1.48,1.23,1.6,1.56,silicon_block
72,1.48,1.23,1.6,1.56,silicon_block
73,1.47,1.23,1.6,1.56,silicon_block
74,1.48,1.23,1.6,1.56,silicon_block
75,1.48,1.23,1.6,1.56,silicon_block
76,1.47,1.24,1.6,1.56,silicon_block
77,1.47,1.23,1.6,1.56,silicon_block
78,1.48,1.23,1.6,1.56,silicon_block
79,1.48,1.22,1.6,1.56,silicon_block
80,1.48,1.23,1.61,1.56,silicon_block
81,1.48,1.23,1.6,1.56,silicon_block
82,1.48,1.23,1.61,1.56,silicon_block
83,1.47,1.23,1.6,1.56,silicon_block
84,1.47,1.23,1.6,1.56,silicon_block
85,1.48,1.23,1.6,1.56,silicon_block
86,1.47,1.23,1.6,1.56,silicon_block
87,1.48,1.23,1.6,1.56,silicon_block
88,1.48,1.23,1.6,1.56,silicon_block
89,1.48,1.23,1.6,1.56,silicon_block
90,1.47,1.23,1.6,1.56,silicon_block
91,1.47,1.22,1.6,1.56,silicon_block
92,1.47,1.23,1.6,1.56,silicon_block
93,1.48,1.22,1.61,1.56,silicon_block
94,1.47,1.23,1.6,1.56,silicon_block
95,1.47,1.23,1.6,1.56,silicon_block
96,1.48,1.22,1.6,1.56,silicon_block
97,1.47,1.23,1.6,1.56,silicon_block
98,1.47,1.22,1.6,1.57,silicon_block
99,1.47,1.22,1.6,1.56,silicon_block
100,1.47,1.23,1.6,1.56,silicon_block
101,1.47,1.23,1.61,1.56,silicon_block
102,1.47,1.23,1.61,1.56,silicon_block
103,1.47,1.22,1.6,1.56,silicon_block
104,1.47,1.23,1.6,1.56,silicon_block
105,1.47,1.23,1.61,1.56,silicon_block
106,1.47,1.21,1.61,1.56,silicon_block
107,1.47,1.23,1.61,1.56,silicon_block
108,1.47,1.23,1.6,1.56,silicon_block
109,1.48,1.22,1.6,1.57,silicon_block
110,1.47,1.23,1.61,1.56,silicon_block
111,1.47,1.23,1.6,1.56,silicon_block
112,1.47,1.23,1.61,1.56,silicon_block
113,1.47,1.23,1.61,1.56,silicon_block
114,1.47,1.23,1.61,1.56,silicon_block
115,1.47,1.23,1.6,1.56,silicon_block
116,1.47,1.23,1.6,1.56,silicon_block
117,1.47,1.23,1.6,1.56,silicon_block
118,1.47,1.23,1.61,1.56,silicon_block
119,1.47,1.23,1.61,1.56,silicon_block
120,1.47,1.23,1.61,1.56,silicon_block
121,1.47,1.23,1.61,1.56,silicon_block
122,1.47,1.23,1.6,1.56,silicon_block
123,1.47,1.23,1.6,1.56,silicon_block
124,1.47,1.23,1.6,1.57,silicon_block
125,1.47,1.23,1.61,1.56,silicon_block
126,1.47,1.23,1.61,1.56,silicon_block
127,1.47,1.23,1.61,1.56,silicon_block
128,1.47,1.23,1.61,1.56,silicon_block
129,1.47,1.23,1.61,1.56,silicon_block
130,1.47,1.23,1.61,1.56,silicon_block
131,1.47,1.23,1.61,1.56,silicon_block
132,1.47,1.23,1.61,1.56,silicon_block
133,1.47,1.23,1.61,1.56,silicon_block
134,1.47,1.24,1.61,1.56,silicon_block
135,1.47,1.23,1.6,1.56,silicon_block
136,1.47,1.24,1.61,1.56,silicon_block
137,1.47,1.23,1.6,1.56,silicon_block
138,1.47,1.23,1.61,1.56,silicon_block
139,1.47,1.23,1.61,1.56,silicon_block
140,1.47,1.23,1.61,1.56,silicon_block
141,1.47,1.23,1.61,1.56,silicon_block
142,1.47,1.23,1.61,1.56,silicon_block
143,1.47,1.23,1.61,1.56,silicon_block
144,1.47,1.23,1.61,1.56,silicon_block
145,1.47,1.23,1.61,1.56,silicon_block
146,1.47,1.23,1.61,1.56,silicon_block
147,1.47,1.23,1.61,1.57,silicon_block
148,1.47,1.22,1.6,1.57,silicon_block
149,1.47,1.23,1.61,1.56,silicon_block
0,0.0,0.0,1.8,1.77,silicon_block
1,0.0,0.0,1.8,1.77,silicon_block
2,0.0,0.0,1.8,1.77,silicon_block
3,0.0,0.0,1.8,1.77,silicon_block
4,0.0,0.0,1.68,1.67,silicon_block
5,0.1,0.0,1.59,1.56,silicon_block
6,0.85,0.29,1.58,1.53,silicon_block
7,1.28,0.93,1.58,1.54,silicon_block
8,1.35,1.07,1.58,1.54,silicon_block
9,1.39,1.15,1.58,1.54,silicon_block
10,1.42,1.18,1.58,1.55,silicon_block
11,1.45,1.2,1.59,1.55,silicon_block
12,1.46,1.22,1.59,1.55,silicon_block
13,1.47,1.22,1.59,1.55,silicon_block
14,1.48,1.22,1.59,1.55,silicon_block
15,1.48,1.23,1.59,1.55,silicon_block
16,1.48,1.23,1.59,1.55,silicon_block
17,1.48,1.23,1.59,1.55,silicon_block
18,1.49,1.23,1.59,1.55,silicon_block
19,1.49,1.23,1.59,1.55,silicon_block
20,1.49,1.23,1.59,1.56,silicon_block
21,1.49,1.23,1.59,1.55,silicon_block
22,1.49,1.23,1.59,1.55,silicon_block
23,1.49,1.24,1.59,1.55,silicon_block
24,1.49,1.23,1.59,1.56,silicon_block
25,1.49,1.23,1.59,1.56,silicon_block
26,1.49,1.23,1.6,1.55,silicon_block
27,1.49,1.23,1.6,1.55,silicon_block
28,1.49,1.23,1.6,1.55,silicon_block
29,1.49,1.23,1.6,1.56,silicon_block
30,1.49,1.23,1.6,1.55,silicon_block
31,1.49,1.23,1.59,1.56,silicon_block
32,1.49,1.23,1.6,1.56,silicon_block
33,1.49,1.23,1.6,1.56,silicon_block
34,1.49,1.24,1.6,1.56,silicon_block
35,1.5,1.24,1.6,1.56,silicon_block
36,1.49,1.24,1.6,1.56,silicon_block
37,1.49,1.23,1.6,1.56,silicon_block
