Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.79,1.76,small_beaker
2,0.0,0.0,1.79,1.77,small_beaker
3,0.0,0.0,1.78,1.77,small_beaker
4,0.0,0.0,1.79,1.77,small_beaker
5,0.0,0.0,1.79,1.77,small_beaker
6,0.0,0.0,1.78,1.77,small_beaker
7,0.0,0.0,1.79,1.77,small_beaker
8,0.0,0.0,1.79,1.77,small_beaker
9,0.0,0.0,1.79,1.77,small_beaker
10,0.0,0.0,1.79,1.77,small_beaker
11,0.0,0.0,1.68,1.69,small_beaker
12,0.0,0.0,1.57,1.59,small_beaker
13,1.38,0.0,1.58,1.59,small_beaker
14,2.13,0.0,1.58,1.59,small_beaker
15,2.19,0.0,1.58,1.59,small_beaker
16,2.22,0.0,1.58,1.58,small_beaker
17,2.24,0.0,1.58,1.59,small_beaker
18,2.26,0.0,1.58,1.58,small_beaker
19,2.26,0.0,1.58,1.59,small_beaker
20,2.26,0.0,1.57,1.58,small_beaker
21,2.25,0.0,1.58,1.59,small_beaker
22,2.24,0.0,1.58,1.59,small_beaker
23,2.22,0.0,1.58,1.59,small_beaker
24,2.21,0.0,1.58,1.59,small_beaker
25,2.21,0.0,1.58,1.59,small_beaker
26,2.21,0.0,1.58,1.59,small_beaker
27,2.21,0.0,1.58,1.59,small_beaker
28,2.2,0.0,1.59,1.59,small_beaker
29,2.21,0.0,1.58,1.59,small_beaker
30,2.21,0.0,1.58,1.59,small_beaker
31,2.21,0.0,1.58,1.59,small_beaker
32,2.21,0.0,1.58,1.59,small_beaker
33,2.2,0.0,1.58,1.59,small_beaker
34,2.2,0.0,1.59,1.59,small_beaker
35,2.21,0.0,1.58,1.59,small_beaker
36,2.2,0.0,1.59,1.59,small_beaker
37,2.2,0.0,1.59,1.59,small_beaker
38,2.2,0.0,1.59,1.59,small_beaker
39,2.2,0.0,1.59,1.59,small_beaker
40,2.2,0.0,1.58,1.59,small_beaker
41,2.2,0.0,1.59,1.59,small_beaker
42,2.2,0.0,1.59,1.59,small_beaker
43,2.2,0.0,1.58,1.59,small_beaker
44,2.2,0.0,1.59,1.59,small_beaker
45,2.2,0.0,1.59,1.59,small_beaker
46,2.2,0.0,1.59,1.59,small_beaker
47,2.2,0.0,1.59,1.6,small_beaker
48,2.2,0.0,1.59,1.59,small_beaker
49,2.2,0.0,1.59,1.59,small_beaker
50,2.2,0.0,1.59,1.59,small_beaker
51,2.2,0.0,1.59,1.6,small_beaker
52,2.2,0.0,1.59,1.59,small_beaker
53,2.2,0.0,1.59,1.59,small_beaker
54,2.2,0.0,1.59,1.59,small_beaker
55,2.2,0.0,1.59,1.59,small_beaker
56,2.2,0.0,1.59,1.59,small_beaker
57,2.2,0.0,1.59,1.59,small_beaker
58,2.2,0.0,1.59,1.59,small_beaker
59,2.2,0.0,1.59,1.6,small_beaker
60,2.19,0.0,1.59,1.6,small_beaker
61,2.2,0.0,1.58,1.59,small_beaker
62,2.19,0.0,1.59,1.6,small_beaker
63,2.19,0.0,1.59,1.59,small_beaker
64,2.19,0.0,1.59,1.59,small_beaker
65,2.19,0.0,1.59,1.59,small_beaker
66,2.2,0.0,1.59,1.59,small_beaker
67,2.19,0.0,1.59,1.6,small_beaker
68,2.19,0.0,1.59,1.59,small_beaker
69,2.19,0.0,1.59,1.59,small_beaker
70,2.19,0.0,1.59,1.59,small_beaker
71,2.19,0.0,1.59,1.6,small_beaker
72,2.19,0.0,1.59,1.59,small_beaker
73,2.19,0.0,1.59,1.59,small_beaker
74,2.19,0.0,1.59,1.6,small_beaker
75,2.19,0.0,1.59,1.6,small_beaker
76,2.19,0.0,1.59,1.59,small_beaker
77,2.19,0.0,1.59,1.59,small_beaker
78,2.19,0.0,1.59,1.59,small_beaker
79,2.2,0.0,1.59,1.59,small_beaker
80,2.19,0.0,1.59,1.6,small_beaker
