Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.78,1.76,univ_adapter
2,0.0,0.0,1.78,1.77,univ_adapter
3,0.0,0.0,1.78,1.76,univ_adapter
4,0.0,0.0,1.77,1.76,univ_adapter
5,0.0,0.0,1.77,1.76,univ_adapter
6,0.0,0.0,1.77,1.76,univ_adapter
7,0.0,0.0,1.77,1.76,univ_adapter
8,0.0,0.0,1.77,1.76,univ_adapter
9,0.0,0.0,1.77,1.76,univ_adapter
10,0.0,0.0,1.77,1.77,univ_adapter
11,0.0,0.0,1.67,1.67,univ_adapter
12,0.22,0.0,1.57,1.56,univ_adapter
13,1.65,1.54,1.59,1.57,univ_adapter
14,2.51,2.33,1.59,1.57,univ_adapter
15,2.85,2.62,1.6,1.58,univ_adapter
16,2.63,2.62,1.6,1.58,univ_adapter
17,2.65,2.66,1.6,1.58,univ_adapter
18,2.66,2.71,1.61,1.58,univ_adapter
19,2.67,2.73,1.61,1.57,univ_adapter
20,2.68,2.74,1.6,1.58,univ_adapter
21,2.67,2.75,1.61,1.58,univ_adapter
22,2.68,2.76,1.62,1.58,univ_adapter
23,2.68,2.76,1.61,1.58,univ_adapter
24,2.67,2.76,1.61,1.58,univ_adapter
25,2.67,2.76,1.61,1.58,univ_adapter
26,2.67,2.77,1.61,1.59,univ_adapter
27,2.67,2.77,1.61,1.58,univ_adapter
28,2.67,2.77,1.61,1.59,univ_adapter
29,2.67,2.77,1.62,1.58,univ_adapter
30,2.67,2.77,1.62,1.58,univ_adapter
31,2.67,2.77,1.62,1.59,univ_adapter
32,2.67,2.77,1.62,1.58,univ_adapter
33,2.67,2.77,1.61,1.59,univ_adapter
34,2.67,2.78,1.62,1.59,univ_adapter
35,2.67,2.78,1.62,1.58,univ_adapter
36,2.67,2.77,1.62,1.59,univ_adapter
37,2.67,2.77,1.61,1.59,univ_adapter
38,2.67,2.77,1.62,1.59,univ_adapter
39,2.67,2.78,1.62,1.59,univ_adapter
40,2.67,2.77,1.61,1.59,univ_adapter
41,2.66,2.77,1.62,1.59,univ_adapter
42,2.67,2.78,1.62,1.58,univ_adapter
43,2.66,2.78,1.62,1.58,univ_adapter
44,2.66,2.78,1.62,1.59,univ_adapter
45,2.67,2.78,1.62,1.59,univ_adapter
46,2.67,2.78,1.62,1.59,univ_adapter
47,2.66,2.78,1.62,1.59,univ_adapter
48,2.66,2.78,1.63,1.58,univ_adapter
49,2.67,2.78,1.62,1.59,univ_adapter
50,2.66,2.78,1.62,1.59,univ_adapter
51,2.66,2.78,1.62,1.59,univ_adapter
52,2.66,2.78,1.62,1.59,univ_adapter
53,2.66,2.78,1.62,1.59,univ_adapter
54,2.66,2.78,1.62,1.59,univ_adapter
55,2.66,2.79,1.62,1.59,univ_adapter
56,2.66,2.79,1.62,1.59,univ_adapter
57,2.66,2.79,1.62,1.59,univ_adapter
58,2.66,2.79,1.62,1.59,univ_adapter
59,2.66,2.78,1.62,1.59,univ_adapter
60,2.66,2.79,1.63,1.59,univ_adapter
61,2.66,2.78,1.62,1.59,univ_adapter
62,2.66,2.78,1.62,1.59,univ_adapter
63,2.66,2.79,1.63,1.59,univ_adapter
64,2.66,2.79,1.62,1.59,univ_adapter
65,2.66,2.79,1.62,1.59,univ_adapter
66,2.66,2.78,1.62,1.59,univ_adapter
